#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar
0 0.027 10.38 185.043 0.161073 10.2189 0.0282725 225914 40886.5 2293.52 90.9303 946230 19318.1 194769 0.000107721 1.05697e+12 0 0 6.32767 118.766 0.0286376 0.537507
1 0.0282725 10.3799 184.379 0.160991 10.2189 0.0296049 247667 85556.8 4808.3 103.752 914407 19863.7 26228.1 0.000122497 1.05644e+12 0 0 6.93806 129.871 0.0286373 0.536051
2 0.0296049 10.3798 183.674 0.160906 10.2189 0.0310001 271513 134349 7565.68 117.978 883594 20423.7 27789.5 0.000135383 1.05588e+12 0 0 7.60733 141.998 0.0286369 0.534535
3 0.0310001 10.3798 182.94 0.160816 10.2189 0.0324611 297651 187636 10589.1 133.759 853758 20998.5 29441.7 0.000152703 1.0553e+12 0 0 8.34116 155.238 0.0286365 0.532955
4 0.0324611 10.3797 182.177 0.160722 10.219 0.033991 326303 245819 13904.1 151.266 824869 21588.5 31189.8 0.000172228 1.05468e+12 0 0 9.14576 169.689 0.0286361 0.531308
5 0.033991 10.3796 181.385 0.160624 10.219 0.0355929 357710 309339 17539 170.685 796900 22194 33039.3 0.000194232 1.05405e+12 0 0 10.028 185.46 0.0286356 0.529595
6 0.0355929 10.3795 180.561 0.160521 10.219 0.0372704 392136 378670 21524.5 192.223 769821 22815.3 34995.9 0.000218011 1.05338e+12 0 0 10.9953 202.667 0.0286352 0.527809
7 0.0372704 10.3794 179.707 0.160414 10.219 0.0390269 429871 454331 25894.5 216.109 743605 23452.8 37065.5 0.000244483 1.05268e+12 0 0 12.0559 221.438 0.0286347 0.525951
8 0.0390269 10.3793 178.819 0.160301 10.219 0.0408662 471231 536882 30686 242.599 718225 24106.8 39254.4 0.000274151 1.05194e+12 0 0 13.2188 241.908 0.0286342 0.524015
9 0.0408662 10.3792 177.897 0.160184 10.219 0.0427921 516566 626930 35939.8 271.973 693656 24777.8 41569.2 0.000307395 1.05118e+12 0 0 14.4938 264.227 0.0286337 0.522001
10 0.0427921 10.3791 176.942 0.16006 10.219 0.0448088 566255 725136 41700.3 304.542 669872 25466 44016.9 0.000336307 1.05037e+12 0 0 15.8919 288.557 0.0286331 0.519906
11 0.0448088 10.379 175.951 0.159931 10.2191 0.0469206 620717 832213 48016.6 340.651 646850 26171.9 46604.9 0.000374985 1.04953e+12 0 0 17.4247 315.07 0.0286325 0.517726
12 0.0469206 10.3789 174.923 0.159796 10.2191 0.0491319 680407 948935 54942.2 380.682 624566 26895.8 49340.8 0.000418084 1.04865e+12 0 0 19.1054 343.953 0.0286319 0.515457
13 0.0491319 10.3788 173.859 0.159655 10.2191 0.0514474 745828 1.07614e+06 62535.9 425.056 602998 27638.2 52232.8 0.000466104 1.04774e+12 0 0 20.9482 375.416 0.0286313 0.513104
14 0.0514474 10.3786 172.755 0.159507 10.2191 0.0538721 817527 1.21473e+06 70862.1 474.241 582122 28399.4 55289.3 0.00050907 1.04677e+12 0 0 22.9688 409.668 0.0286306 0.510652
15 0.0538721 10.3785 171.615 0.159353 10.2191 0.056411 896106 1.36569e+06 79991.5 528.752 561918 29179.7 58519.5 0.000568144 1.04577e+12 0 0 25.1842 446.955 0.02863 0.508109
16 0.056411 10.3784 170.434 0.159191 10.2192 0.0590696 982222 1.53008e+06 90001.5 589.162 542365 29979.7 61932.6 0.000634028 1.04471e+12 0 0 27.6132 487.528 0.0286292 0.505467
17 0.0590696 10.3782 169.213 0.159022 10.2192 0.0618534 1.0766e+06 1.70903e+06 100977 656.102 523443 30799.6 65538.5 0.000707494 1.04361e+12 0 0 30.2765 531.663 0.0286285 0.502725
18 0.0618534 10.378 167.952 0.158845 10.2192 0.0647685 1.18002e+06 1.90379e+06 113011 730.271 505132 31639.9 69347.7 0.000755735 1.04246e+12 0 0 33.1966 579.66 0.0286277 0.499881
19 0.0647685 10.3779 166.648 0.15866 10.2192 0.0678209 1.29336e+06 2.11568e+06 126207 812.441 487413 32501.1 73371.1 0.000839448 1.04126e+12 0 0 36.3983 631.829 0.0286269 0.496928
20 0.0678209 10.3777 165.302 0.158466 10.2192 0.0710172 1.41755e+06 2.34613e+06 140675 903.466 470269 33383.4 77620 0.000932364 1.04e+12 0 0 39.9087 688.518 0.028626 0.493865
21 0.0710172 10.3775 163.912 0.158264 10.2193 0.0743642 1.55364e+06 2.59669e+06 156538 1004.29 453680 34287.3 82106.5 0.00103549 1.03868e+12 0 0 43.7576 750.091 0.0286251 0.49069
22 0.0743642 10.3773 162.479 0.158052 10.2193 0.0778689 1.70276e+06 2.86903e+06 173932 1115.96 437631 35213.1 86843.2 0.00114993 1.0373e+12 0 0 47.9777 816.949 0.0286242 0.487403
23 0.0778689 10.3771 161.003 0.15783 10.2193 0.0815387 1.86615e+06 3.16493e+06 193003 1239.62 422104 36161.4 91843.3 0.00118628 1.03586e+12 0 0 52.6047 889.508 0.0286232 0.483998
24 0.0815387 10.3769 159.48 0.157598 10.2193 0.0853815 2.04518e+06 3.4863e+06 213914 1376.55 407083 37132.6 97120.5 0.00130359 1.03435e+12 0 0 57.6779 968.218 0.0286222 0.48047
25 0.0853815 10.3767 157.913 0.157356 10.2194 0.0894054 2.24133e+06 3.83522e+06 236842 1528.15 392553 38126.9 102689 0.00143244 1.03277e+12 0 0 63.2402 1053.57 0.0286211 0.47682
26 0.0894054 10.3765 156.301 0.157102 10.2194 0.0936189 2.45624e+06 4.2139e+06 261982 1695.99 378498 39144.9 106633 0.00157393 1.03113e+12 0 0 69.3387 1146.07 0.02862 0.473049
27 0.0936189 10.3762 154.643 0.156837 10.2194 0.0980311 2.69168e+06 4.6247e+06 289546 1881.76 364903 40186.9 114764 0.00157035 1.0294e+12 0 0 76.0253 1246.28 0.0286188 0.469146
28 0.0980311 10.376 152.94 0.15656 10.2194 0.102651 2.9496e+06 5.07018e+06 319769 2087.38 351754 41253.3 121302 0.00168068 1.0276e+12 0 0 83.3565 1354.78 0.0286176 0.465118
29 0.102651 10.3757 151.188 0.156271 10.2194 0.107489 3.23216e+06 5.55305e+06 352907 2314.92 339037 42344.6 126497 0.0017988 1.02572e+12 0 0 91.3946 1472.18 0.0286163 0.46095
30 0.107489 10.3754 149.391 0.155968 10.2195 0.112555 3.54168e+06 6.0762e+06 389241 2566.7 326740 43461.1 130774 0.00192528 1.02375e+12 0 0 100.207 1599.15 0.028615 0.45665
31 0.112555 10.3751 147.549 0.155651 10.2195 0.117859 3.88072e+06 6.64276e+06 429079 2845.26 314847 44603.2 135176 0.0020607 1.02169e+12 0 0 109.87 1736.41 0.0286136 0.452217
