#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin
0 0.027 0 1551.34 170.582 3.8793 0.0282725 374666 342778 0 4203.78 4.37672e+07 46147.1 1.94225e+07 1.05798e-06 9.5701e+14 0 0 47.9219 1801.85 0.216884 8.15477 inf 0.00525661 12
1 0.0282725 0 1551.93 170.524 3.87932 0.0296049 410786 718770 0 4797.55 4.23447e+07 47487.3 2.61986e+06 1.0685e-06 9.56581e+14 0 0 52.5217 1974.19 0.216787 8.1486 inf 0.00525062 12
2 0.0296049 0 1548.98 170.463 3.87935 0.0310001 450386 1.13025e+06 0 5457.09 4.09665e+07 48864.9 2.77913e+06 1.07921e-06 9.56132e+14 0 0 57.5619 2162.94 0.216685 8.14214 inf 0.00525646 12
3 0.0310001 0 1545.91 170.4 3.87937 0.0324611 493802 1.58054e+06 0 6189.67 3.96312e+07 50280.9 2.94793e+06 1.07087e-06 9.55662e+14 0 0 63.0844 2369.66 0.216578 8.13539 inf 0.00526253 12
4 0.0324611 0 1542.72 170.334 3.8794 0.033991 541402 2.07325e+06 0 7003.32 3.83377e+07 51736.3 3.12684e+06 1.08124e-06 9.55171e+14 0 0 69.1351 2596.02 0.216467 8.12834 inf 0.00526884 12
5 0.033991 0 1539.4 170.264 3.87943 0.0355929 593587 2.61234e+06 0 7906.99 3.70845e+07 53232.1 3.31644e+06 1.0918e-06 9.54656e+14 0 0 75.7642 2843.9 0.21635 8.12097 inf 0.00527541 12
6 0.0355929 0 1535.96 170.192 3.87945 0.0372704 650800 3.20211e+06 0 8910.58 3.58706e+07 54769.3 3.51737e+06 1.10255e-06 9.54118e+14 0 0 83.027 3115.32 0.216228 8.11326 inf 0.00528222 12
7 0.0372704 0 1532.38 170.116 3.87948 0.0390269 713525 3.84728e+06 0 10025.1 3.46946e+07 56349 3.73028e+06 1.13288e-06 9.53554e+14 0 0 90.9835 3412.49 0.216101 8.10521 inf 0.0052893 12
8 0.0390269 0 1528.66 170.036 3.87951 0.0408662 782292 4.55298e+06 0 11262.7 3.35553e+07 57972.2 3.95586e+06 1.1562e-06 9.52965e+14 0 0 99.6997 3737.83 0.215967 8.0968 inf 0.00529666 12
9 0.0408662 0 1524.8 169.953 3.87955 0.0427921 857683 5.3248e+06 0 12636.9 3.24518e+07 59640 4.19487e+06 1.18007e-06 9.52347e+14 0 0 109.248 4094 0.215827 8.08801 inf 0.0053043 12
10 0.0427921 0 1520.8 169.866 3.87958 0.0448088 940335 6.16888e+06 0 14162.7 3.13829e+07 61353.7 4.44808e+06 1.20453e-06 9.51702e+14 0 0 119.707 4483.89 0.215681 8.07883 inf 0.00531222 12
11 0.0448088 0 1516.65 169.775 3.87962 0.0469206 1.03095e+06 7.09185e+06 0 15856.8 3.03475e+07 63114.2 4.71631e+06 1.22911e-06 9.51026e+14 0 0 131.162 4910.65 0.215528 8.06923 inf 0.00532045 12
12 0.0469206 0 1512.34 169.679 3.87965 0.0491319 1.13029e+06 8.101e+06 0 17737.6 2.93446e+07 64922.8 5.00044e+06 1.261e-06 9.50319e+14 0 0 143.71 5377.73 0.215367 8.05921 inf 0.00532898 12
13 0.0491319 0 1507.87 169.579 3.87969 0.0514474 1.23919e+06 9.20424e+06 0 19825.6 2.83733e+07 66780.7 5.30138e+06 1.29382e-06 9.49579e+14 0 0 157.452 5888.91 0.2152 8.04875 inf 0.00533783 12
