#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin
0 0.027 238.713 0 0 238.713 0.0282725 135074 0 52745.2 11.7854 122547 7917.22 166.972 0.0705832 0 0 0 0 0 0 0 0 nan 10
1 0.0282725 237.497 0 0 237.497 0.0296049 148040 0 110285 13.4431 118218 8131.31 22.0593 0.0751463 0 0 0 0 0 0 0 0 nan 10
2 0.0296049 236.234 0 0 236.234 0.0310001 162248 0 173040 15.279 114030 8350.6 22.946 0.0800072 0 0 0 0 0 0 0 0 nan 10
3 0.0310001 234.923 0 0 234.923 0.0324611 177816 0 241468 17.3119 109979 8575.18 23.8648 0.0851856 0 0 0 0 0 0 0 0 nan 10
4 0.0324611 233.562 0 0 233.562 0.033991 194872 0 316063 19.5628 106059 8805.14 24.8167 0.0907026 0 0 0 0 0 0 0 0 nan 10
5 0.033991 232.15 0 0 232.15 0.0355929 213560 0 397360 22.0549 102268 9040.59 25.8027 0.0965805 0 0 0 0 0 0 0 0 nan 10
6 0.0355929 230.686 0 0 230.686 0.0372704 234035 0 485938 24.8135 98600.7 9281.62 26.8237 0.102843 0 0 0 0 0 0 0 0 nan 10
7 0.0372704 229.169 0 0 229.169 0.0390269 256465 0 582424 27.8669 95053.6 9528.32 27.8807 0.109517 0 0 0 0 0 0 0 0 nan 10
8 0.0390269 227.596 0 0 227.596 0.0408662 281038 0 687492 31.2462 91623 9780.78 28.9747 0.116628 0 0 0 0 0 0 0 0 nan 10
9 0.0408662 225.967 0 0 225.967 0.0427921 307956 0 801873 34.9856 88305.3 10039.1 32.9204 0.113589 0 0 0 0 0 0 0 0 nan 10
10 0.0427921 224.281 0 0 224.281 0.0448088 337442 0 926353 39.123 85096.9 10303.4 61.9933 0.0667398 0 0 0 0 0 0 0 0 nan 10
11 0.0448088 222.536 0 0 222.536 0.0469206 369741 0 1.06178e+06 43.7002 81994.5 10573.7 116.492 0.0392919 0 0 0 0 0 0 0 0 nan 10
12 0.0469206 220.732 0 0 220.732 0.0491319 405117 0 1.20907e+06 48.7633 78994.6 10850.1 218.423 0.0231801 0 0 0 0 0 0 0 0 nan 10
13 0.0491319 218.866 0 0 218.866 0.0514474 443864 0 1.3692e+06 54.363 76094.3 11132.8 408.616 0.0137041 0 0 0 0 0 0 0 0 nan 10
14 0.0514474 216.939 0 0 216.939 0.0538721 486299 0 1.54324e+06 60.5554 73290.2 11421.8 682.328 0.00907545 0 0 0 0 0 0 0 0 nan 10
15 0.0538721 214.949 0 0 214.949 0.056411 532771 0 1.73232e+06 67.4023 70579.5 11717.2 1083.14 0.00632134 0 0 0 0 0 0 0 0 nan 10
16 0.056411 212.895 0 0 212.895 0.0590696 583661 0 1.93766e+06 74.9718 67959.1 12019 1716.3 0.00441031 0 0 0 0 0 0 0 0 nan 10
17 0.0590696 210.776 0 0 210.776 0.0618534 639387 0 2.16057e+06 83.3387 65426.4 12327.4 2714.54 0.00308227 0 0 0 0 0 0 0 0 nan 10
18 0.0618534 208.592 0 0 208.592 0.0647685 700403 0 2.40245e+06 92.5859 62978.4 12642.5 4013.16 0.00223459 0 0 0 0 0 0 0 0 nan 10
19 0.0647685 206.342 0 0 206.342 0.0678209 767207 0 2.66481e+06 102.804 60612.7 12964.2 4235.04 0.00193 0 0 0 0 0 0 0 0 nan 10
20 0.0678209 204.025 0 0 204.025 0.0710172 840345 0 2.94925e+06 114.094 58326.5 13292.7 4468.48 0.00166849 0 0 0 0 0 0 0 0 nan 10
21 0.0710172 201.642 0 0 201.642 0.0743642 920410 0 3.25749e+06 126.565 56117.5 13628.1 4714.03 0.0014438 0 0 0 0 0 0 0 0 nan 10
22 0.0743642 199.191 0 0 199.191 0.0778689 1.00805e+06 0 3.59136e+06 140.34 53983.1 13970.4 4972.24 0.0012506 0 0 0 0 0 0 0 0 nan 10
23 0.0778689 196.674 0 0 196.674 0.0815387 1.10398e+06 0 3.95281e+06 155.551 51921.1 14319.7 5243.7 0.00119029 0 0 0 0 0 0 0 0 nan 10
24 0.0815387 194.088 0 0 194.088 0.0853815 1.20897e+06 0 4.34393e+06 172.345 49929.1 14676 5529.02 0.00122174 0 0 0 0 0 0 0 0 nan 10
25 0.0853815 191.436 0 0 191.436 0.0894054 1.32387e+06 0 4.76692e+06 190.885 48005 15039.3 5828.83 0.00125432 0 0 0 0 0 0 0 0 nan 10
26 0.0894054 188.717 0 0 188.717 0.0936189 1.4496e+06 0 5.22413e+06 211.347 46146.7 15409.8 6143.77 0.00128809 0 0 0 0 0 0 0 0 nan 10
27 0.0936189 185.931 0 0 185.931 0.0980311 1.58717e+06 0 5.71805e+06 233.928 44352 15787.5 6474.52 0.00132311 0 0 0 0 0 0 0 0 nan 10
28 0.0980311 183.08 0 0 183.08 0.102651 1.73768e+06 0 6.25132e+06 258.84 42618.9 16172.3 6821.77 0.00144144 0 0 0 0 0 0 0 0 nan 10
29 0.102651 180.164 0 0 180.164 0.107489 1.90234e+06 0 6.82673e+06 286.32 40945.6 16564.4 7186.23 0.00158798 0 0 0 0 0 0 0 0 nan 10
30 0.107489 177.184 0 0 177.184 0.112555 2.08244e+06 0 7.44721e+06 316.627 39330.1 16963.7 7568.66 0.00174921 0 0 0 0 0 0 0 0 nan 10
31 0.112555 174.142 0 0 174.142 0.117859 2.27942e+06 0 8.11588e+06 350.044 37770.6 17370.3 7969.8 0.00192659 0 0 0 0 0 0 0 0 nan 10
