#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MassBin
0 0.027 32.7175 1556.44 30.5337 2.18388 0.0282725 330835 343906 7229.15 0.242817 2565.07 436931 0.204909 1.18499 1.94218e+14 0 0 203.013 7047.75 0.91879 31.8966 11.75
1 0.0282725 32.7027 1553.26 30.5189 2.18386 0.0296049 362723 720220 15152.2 0.278783 2564.94 436916 0.0303509 1.185 1.94154e+14 0 0 222.497 7708.37 0.918369 31.8168 11.75
2 0.0296049 32.6872 1549.21 30.5034 2.18385 0.0310001 397682 1.13177e+06 23835.5 0.320075 2564.8 436900 0.0348452 1.18502 1.94087e+14 0 0 243.846 8429.96 0.917928 31.7336 11.75
3 0.0310001 32.671 1545 30.4871 2.18384 0.0324611 436009 1.58179e+06 33351.8 0.367482 2564.65 436884 0.0400049 1.18503 1.94017e+14 0 0 267.237 9218.02 0.917466 31.6469 11.75
4 0.0324611 32.654 1540.61 30.4702 2.18383 0.033991 478028 2.07383e+06 43780.8 0.42191 2564.5 436867 0.0459286 1.18505 1.93944e+14 0 0 292.865 10078.5 0.916983 31.5566 11.75
5 0.033991 32.6362 1536.03 30.4524 2.18381 0.0355929 524093 2.61173e+06 55209.7 0.484397 2564.34 436849 0.0527292 1.18506 1.93867e+14 0 0 320.943 11017.9 0.916477 31.4625 11.75
6 0.0355929 32.6176 1531.27 30.4338 2.1838 0.0372704 574595 3.19971e+06 67734.2 0.556137 2564.18 436830 0.0605365 1.18507 1.93787e+14 0 0 351.704 12043.3 0.915948 31.3646 11.75
7 0.0372704 32.5982 1526.31 30.4144 2.18378 0.0390269 629960 3.84232e+06 81458.8 0.6385 2564 436810 0.0694995 1.18509 1.93703e+14 0 0 385.403 13162.3 0.915394 31.2626 11.75
8 0.0390269 32.5778 1521.15 30.394 2.18377 0.0408662 690656 4.54455e+06 96498.1 0.733059 2563.82 436789 0.0797893 1.18511 1.93615e+14 0 0 422.318 14383.2 0.914814 31.1564 11.75
9 0.0408662 32.5565 1515.78 30.3727 2.18375 0.0427921 757196 5.31181e+06 112978 0.841619 2563.63 436767 0.091602 1.18513 1.93523e+14 0 0 462.755 15714.9 0.914208 31.0459 11.75
10 0.0427921 32.5342 1510.19 30.3504 2.18373 0.0448088 830142 6.14999e+06 131035 0.966253 2563.43 436745 0.105164 1.18514 1.93427e+14 0 0 507.049 17167.2 0.913573 30.931 11.75
11 0.0448088 32.5108 1504.37 30.3271 2.18371 0.0469206 910110 7.0655e+06 150820 1.10934 2563.22 436721 0.120732 1.18517 1.93326e+14 0 0 555.564 18750.7 0.912909 30.8114 11.75
12 0.0469206 32.4864 1498.33 30.3027 2.18369 0.0491319 997775 8.0653e+06 172497 1.27361 2563 436696 0.138605 1.18518 1.93221e+14 0 0 608.7 20476.8 0.912214 30.6871 11.75
13 0.0491319 32.4608 1492.05 30.2772 2.18367 0.0514474 1.09388e+06 9.15696e+06 196247 1.46221 2562.77 436670 0.159122 1.18521 1.9311e+14 0 0 666.894 22357.9 0.911487 30.5579 11.75
14 0.0514474 32.4341 1485.52 30.2504 2.18365 0.0538721 1.19923e+06 1.03487e+07 222267 1.67872 2562.53 436643 0.182676 1.18523 1.92995e+14 0 0 730.625 24407.2 0.910726 30.4236 11.75
15 0.0538721 32.4061 1478.74 30.2225 2.18363 0.056411 1.31471e+06 1.16495e+07 250773 1.92728 2562.28 436614 0.209716 1.18525 1.92874e+14 0 0 800.414 26639.2 0.90993 30.2841 11.75
16 0.056411 32.3769 1471.69 30.1932 2.18361 0.0590696 1.44131e+06 1.30689e+07 282001 2.21265 2562.01 436584 0.240756 1.18528 1.92747e+14 0 0 876.833 29069.6 0.909097 30.1392 11.75
17 0.0590696 32.3462 1464.38 30.1627 2.18358 0.0618534 1.58008e+06 1.46176e+07 316209 2.54025 2561.74 436553 0.27639 1.1853 1.92615e+14 0 0 960.507 31715.1 0.908226 29.9888 11.75
18 0.0618534 32.3142 1456.79 30.1307 2.18356 0.0647685 1.7322e+06 1.63069e+07 353680 2.91635 2561.45 436520 0.317294 1.18533 1.92476e+14 0 0 1052.12 34593.9 0.907314 29.8327 11.75
19 0.0647685 32.2807 1448.92 30.0972 2.18353 0.0678209 1.89895e+06 1.81492e+07 394724 3.34812 2561.15 436486 0.364252 1.18535 1.92331e+14 0 0 1152.41 37725.6 0.906361 29.6708 11.75
20 0.0678209 32.2457 1440.76 30.0622 2.18351 0.0710172 2.08173e+06 2.01578e+07 439679 3.84379 2560.83 436450 0.418154 1.18539 1.92179e+14 0 0 1262.2 41131.1 0.905364 29.5029 11.75
21 0.0710172 32.209 1432.3 30.0256 2.18348 0.0743642 2.28209e+06 2.23473e+07 488916 4.41283 2560.5 436412 0.48003 1.18542 1.9202e+14 0 0 1382.38 44833.3 0.90432 29.3288 11.75
22 0.0743642 32.1706 1423.53 29.9872 2.18345 0.0778689 2.5017e+06 2.47333e+07 542838 5.06608 2560.15 436373 0.551059 1.18545 1.91854e+14 0 0 1513.92 48856.4 0.903225 29.1484 11.75
23 0.0778689 32.1304 1414.44 29.9469 2.18343 0.0815387 2.74242e+06 2.73328e+07 601888 5.81601 2559.79 436332 0.632594 1.18548 1.91679e+14 0 0 1657.87 53226.5 0.902076 28.9615 11.75
24 0.0815387 32.0883 1405.04 29.9049 2.1834 0.0853815 3.00626e+06 3.01641e+07 666550 6.67692 2559.41 436288 0.726185 1.18552 1.91497e+14 0 0 1815.39 57971.9 0.900874 28.7681 11.75
25 0.0853815 32.0443 1395.31 29.8609 2.18337 0.0894054 3.29545e+06 3.32472e+07 737354 7.66521 2559.01 436243 0.833617 1.18555 1.91305e+14 0 0 1987.76 63122.5 0.899618 28.5679 11.75
26 0.0894054 31.9982 1385.24 29.8149 2.18334 0.0936189 3.61242e+06 3.66033e+07 814878 8.79975 2558.6 436196 0.956934 1.18559 1.91106e+14 0 0 2176.36 68710.7 0.898304 28.3607 11.75
27 0.0936189 31.9501 1374.84 29.7668 2.18331 0.0980311 3.95983e+06 4.02555e+07 899753 10.1021 2558.16 436146 1.09848 1.18563 1.90896e+14 0 0 2382.68 74770.9 0.896931 28.1466 11.75
28 0.0980311 31.8998 1364.08 29.7165 2.18328 0.102651 4.34059e+06 4.42288e+07 992669 11.5972 2557.7 436094 1.26095 1.18568 1.90678e+14 0 0 2608.37 81340 0.895495 27.9253 11.75
29 0.102651 31.8472 1352.97 29.664 2.18325 0.107489 4.75789e+06 4.85499e+07 1.09438e+06 13.3135 2557.23 436040 1.44745 1.18572 1.90449e+14 0 0 2855.22 88457.4 0.893992 27.6967 11.75
