#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar
0 0.027 7.21985 2468.53 5.82239 1.39747 0.0282725 374666 545437 1595.27 0.546967 5778.08 1.10191e+06 0.110009 4.97203 6.29907e+13 0 0 73.0777 11317.8 0.330734 51.2217
1 0.0282725 7.21722 2462.91 5.81973 1.39749 0.0296049 410786 1.14214e+06 3343.82 0.627985 5777.84 1.10188e+06 0.0162946 4.97207 6.29701e+13 0 0 80.0949 12380.5 0.330596 51.1011
2 0.0296049 7.21446 2456.83 5.81694 1.39751 0.0310001 450386 1.79479e+06 5260.32 0.721002 5777.6 1.10184e+06 0.0187077 4.97212 6.29484e+13 0 0 87.7838 13541.5 0.330452 50.9754
3 0.0310001 7.21156 2450.48 5.81402 1.39754 0.0324611 493802 2.50856e+06 7360.89 0.827795 5777.34 1.10181e+06 0.0214782 4.97215 6.29258e+13 0 0 96.2089 14809.8 0.3303 50.8444
4 0.0324611 7.20852 2443.87 5.81096 1.39757 0.033991 541402 3.28908e+06 9663.14 0.950404 5777.07 1.10178e+06 0.0246589 4.97221 6.2902e+13 0 0 105.44 16195 0.330141 50.7078
5 0.033991 7.20535 2436.98 5.80776 1.39759 0.0355929 593587 4.14249e+06 12186.4 1.09117 5776.79 1.10174e+06 0.0283106 4.97225 6.28772e+13 0 0 115.555 17707.6 0.329975 50.5655
6 0.0355929 7.20203 2429.8 5.8044 1.39762 0.0372704 650800 5.07548e+06 14951.8 1.25279 5776.49 1.1017e+06 0.0325028 4.97231 6.28511e+13 0 0 126.636 19359.1 0.329801 50.4173
7 0.0372704 7.19855 2422.33 5.8009 1.39765 0.0390269 713525 6.09533e+06 17982.6 1.43833 5776.18 1.10166e+06 0.0373159 4.97236 6.28239e+13 0 0 138.778 21161.9 0.329619 50.2629
8 0.0390269 7.19491 2414.54 5.79723 1.39768 0.0408662 782292 7.20999e+06 21304.1 1.65136 5775.85 1.10162e+06 0.0428414 4.97243 6.27954e+13 0 0 152.079 23129.3 0.329429 50.1021
9 0.0408662 7.19111 2406.44 5.79339 1.39772 0.0427921 857683 8.42809e+06 24944.1 1.89593 5775.51 1.10158e+06 0.049185 4.97248 6.27656e+13 0 0 166.65 25276.1 0.32923 49.9348
10 0.0427921 7.18712 2398.01 5.78937 1.39775 0.0448088 940335 9.75902e+06 28933 2.17672 5775.16 1.10153e+06 0.0564678 4.97254 6.27344e+13 0 0 182.613 27618 0.329021 49.7606
11 0.0448088 7.18295 2389.23 5.78516 1.39779 0.0469206 1.03095e+06 1.1213e+07 33304.3 2.49909 5774.78 1.10149e+06 0.0648287 4.9726 6.27017e+13 0 0 200.098 30172.2 0.328803 49.5794
12 0.0469206 7.17859 2380.11 5.78076 1.39783 0.0491319 1.13029e+06 1.28012e+07 38094.5 2.86919 5774.39 1.10144e+06 0.0744273 4.97267 6.26675e+13 0 0 219.251 32957.4 0.328575 49.3909
13 0.0491319 7.17403 2370.62 5.77616 1.39787 0.0514474 1.23919e+06 1.45357e+07 43343.4 3.29409 5773.99 1.10138e+06 0.0854466 4.97274 6.26317e+13 0 0 240.229 35993.7 0.328336 49.1948
14 0.0514474 7.16926 2360.76 5.77134 1.39791 0.0538721 1.35858e+06 1.64296e+07 49094.9 3.78191 5773.56 1.10133e+06 0.0980975 4.9728 6.25942e+13 0 0 263.205 39302.8 0.328086 48.991
15 0.0538721 7.16426 2350.5 5.76631 1.39795 0.056411 1.48946e+06 1.84972e+07 55396.9 4.34196 5773.11 1.10127e+06 0.11262 4.97289 6.2555e+13 0 0 288.369 42908.3 0.327825 48.7792
16 0.056411 7.15904 2339.85 5.76103 1.398 0.0590696 1.63294e+06 2.0754e+07 62301.8 4.98493 5772.64 1.10121e+06 0.129293 4.97298 6.2514e+13 0 0 315.927 46835.8 0.327551 48.5592
17 0.0590696 7.15357 2328.79 5.75552 1.39805 0.0618534 1.79023e+06 2.32169e+07 69867.2 5.72309 5772.15 1.10115e+06 0.148433 4.97305 6.2471e+13 0 0 346.104 51112.7 0.327265 48.3306
18 0.0618534 7.14785 2317.3 5.74975 1.3981 0.0647685 1.96266e+06 2.5904e+07 78155.8 6.57054 5771.63 1.10109e+06 0.170406 4.97314 6.24261e+13 0 0 379.148 55768.7 0.326966 48.0932
19 0.0647685 7.14187 2305.38 5.74372 1.39815 0.0678209 2.15169e+06 2.88352e+07 87236.5 7.54346 5771.1 1.10102e+06 0.195629 4.97325 6.23791e+13 0 0 415.33 60836 0.326653 47.8469
20 0.0678209 7.13562 2293.01 5.7374 1.39821 0.0710172 2.3589e+06 3.2032e+07 97184.5 8.6604 5770.53 1.10095e+06 0.224586 4.97334 6.23299e+13 0 0 454.944 66349 0.326326 47.5913
21 0.0710172 7.12907 2280.18 5.7308 1.39827 0.0743642 2.58604e+06 3.55176e+07 108082 9.94269 5769.94 1.10087e+06 0.257829 4.97343 6.22784e+13 0 0 498.312 72345 0.325983 47.3262
