#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MassBin
0 0.027 578.343 0 0 578.343 0.0282725 135074 0 127789 11.7897 122591 7917.22 167.092 0.0705578 0 0 0 0 0 0 0 10
1 0.0282725 573.768 0 0 573.768 0.0296049 148040 0 266797 13.448 118261 8131.31 22.0752 0.0751193 0 0 0 0 0 0 0 10
2 0.0296049 569.037 0 0 569.037 0.0310001 162248 0 417961 15.2845 114071 8350.6 22.9625 0.0799784 0 0 0 0 0 0 0 10
3 0.0310001 564.147 0 0 564.147 0.0324611 177816 0 582284 17.3181 110018 8575.18 23.882 0.085155 0 0 0 0 0 0 0 10
4 0.0324611 559.097 0 0 559.097 0.033991 194872 0 760848 19.5699 106098 8805.14 24.8346 0.0906699 0 0 0 0 0 0 0 10
5 0.033991 553.883 0 0 553.883 0.0355929 213560 0 954814 22.0628 102305 9040.59 25.8213 0.0965457 0 0 0 0 0 0 0 10
6 0.0355929 548.504 0 0 548.504 0.0372704 234035 0 1.16543e+06 24.8225 98636.2 9281.62 26.8431 0.102806 0 0 0 0 0 0 0 10
7 0.0372704 542.957 0 0 542.957 0.0390269 256465 0 1.39403e+06 27.877 95087.8 9528.32 27.9008 0.109477 0 0 0 0 0 0 0 10
8 0.0390269 537.24 0 0 537.24 0.0408662 281038 0 1.64204e+06 31.2574 91656 9780.78 28.9956 0.116586 0 0 0 0 0 0 0 10
9 0.0408662 531.353 0 0 531.353 0.0427921 307956 0 1.911e+06 34.9982 88337.1 10039.1 32.9441 0.113548 0 0 0 0 0 0 0 10
10 0.0427921 525.294 0 0 525.294 0.0448088 337442 0 2.20255e+06 39.1371 85127.5 10303.4 62.0379 0.0667157 0 0 0 0 0 0 0 10
11 0.0448088 519.061 0 0 519.061 0.0469206 369741 0 2.51843e+06 43.7159 82024 10573.7 116.576 0.0392778 0 0 0 0 0 0 0 10
12 0.0469206 512.655 0 0 512.655 0.0491319 405117 0 2.86051e+06 48.7808 79023.1 10850.1 218.58 0.0231717 0 0 0 0 0 0 0 10
13 0.0491319 506.075 0 0 506.075 0.0514474 443864 0 3.23079e+06 54.3826 76121.7 11132.8 408.91 0.0136992 0 0 0 0 0 0 0 10
14 0.0514474 499.322 0 0 499.322 0.0538721 486299 0 3.63136e+06 60.5772 73316.6 11421.8 682.819 0.00907218 0 0 0 0 0 0 0 10
15 0.0538721 492.396 0 0 492.396 0.056411 532771 0 4.0645e+06 67.4266 70604.9 11717.2 1083.92 0.00631906 0 0 0 0 0 0 0 10
16 0.056411 485.298 0 0 485.298 0.0590696 583661 0 4.53257e+06 74.9987 67983.6 12019 1717.54 0.00440872 0 0 0 0 0 0 0 10
17 0.0590696 478.029 0 0 478.029 0.0618534 639387 0 5.03812e+06 83.3687 65449.9 12327.4 2716.5 0.00308117 0 0 0 0 0 0 0 10
18 0.0618534 470.592 0 0 470.592 0.0647685 700403 0 5.58381e+06 92.6192 63001.1 12642.5 4014.6 0.00223378 0 0 0 0 0 0 0 10
19 0.0647685 462.989 0 0 462.989 0.0678209 767207 0 6.17249e+06 102.841 60634.5 12964.2 4236.57 0.00192931 0 0 0 0 0 0 0 10
20 0.0678209 455.222 0 0 455.222 0.0710172 840345 0 6.80713e+06 114.135 58347.5 13292.7 4470.09 0.00166789 0 0 0 0 0 0 0 10
21 0.0710172 447.296 0 0 447.296 0.0743642 920410 0 7.49089e+06 126.611 56137.7 13628.1 4715.73 0.00144328 0 0 0 0 0 0 0 10
22 0.0743642 439.214 0 0 439.214 0.0778689 1.00805e+06 0 8.22707e+06 140.39 54002.5 13970.4 4974.03 0.00125015 0 0 0 0 0 0 0 10
23 0.0778689 430.981 0 0 430.981 0.0815387 1.10398e+06 0 9.01914e+06 155.607 51939.8 14319.7 5245.59 0.00118986 0 0 0 0 0 0 0 10
24 0.0815387 422.601 0 0 422.601 0.0853815 1.20897e+06 0 9.87074e+06 172.407 49947.1 14676 5531.01 0.0012213 0 0 0 0 0 0 0 10
25 0.0853815 414.08 0 0 414.08 0.0894054 1.32387e+06 0 1.07857e+07 190.954 48022.3 15039.3 5830.92 0.00125387 0 0 0 0 0 0 0 10
26 0.0894054 405.425 0 0 405.425 0.0936189 1.4496e+06 0 1.17679e+07 211.423 46163.3 15409.8 6145.98 0.00128763 0 0 0 0 0 0 0 10
27 0.0936189 396.642 0 0 396.642 0.0980311 1.58717e+06 0 1.28216e+07 234.012 44368 15787.5 6476.85 0.00132263 0 0 0 0 0 0 0 10
28 0.0980311 387.739 0 0 387.739 0.102651 1.73768e+06 0 1.3951e+07 258.933 42634.3 16172.3 6824.22 0.00144092 0 0 0 0 0 0 0 10
29 0.102651 378.722 0 0 378.722 0.107489 1.90234e+06 0 1.51605e+07 286.424 40960.3 16564.4 7188.82 0.00158741 0 0 0 0 0 0 0 10
30 0.107489 369.601 0 0 369.601 0.112555 2.08244e+06 0 1.64549e+07 316.741 39344.2 16963.7 7571.38 0.00174858 0 0 0 0 0 0 0 10
