#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
0 0.027 0.419457 0 0 0.419457 0.0282725 134136 0 92.4784 0.00742113 78.3916 14127.2 0.00934602 0.794041 0 0 0 0 0 0 0 0 0 0 10 0.891015
1 0.0282725 0.418237 0 0 0.418237 0.0296049 147013 0 193.584 0.00852017 78.3789 14125.7 0.00138381 0.794217 0 0 0 0 0 0 0 0 0 0 10 0.933007
2 0.0296049 0.416965 0 0 0.416965 0.0310001 161122 0 304.106 0.00978182 78.3655 14124.1 0.00158721 0.794887 0 0 0 0 0 0 0 0 0 0 10 0.976978
3 0.0310001 0.415639 0 0 0.415639 0.0324611 176582 0 424.904 0.0112301 78.3515 14122.4 0.00182011 0.795731 0 0 0 0 0 0 0 0 0 0 10 1.02302
4 0.0324611 0.414256 0 0 0.414256 0.033991 193521 0 556.916 0.0128927 78.3368 14120.7 0.00208708 0.796605 0 0 0 0 0 0 0 0 0 0 10 1.07124
5 0.033991 0.412816 0 0 0.412816 0.0355929 212079 0 701.161 0.0148012 78.3215 14118.8 0.00239305 0.797526 0 0 0 0 0 0 0 0 0 0 10 1.12172
6 0.0355929 0.411314 0 0 0.411314 0.0372704 232412 0 858.745 0.0169921 78.3054 14116.9 0.00274369 0.798495 0 0 0 0 0 0 0 0 0 0 10 1.17459
7 0.0372704 0.409751 0 0 0.409751 0.0390269 254687 0 1030.87 0.0195069 78.2886 14114.9 0.00314552 0.799506 0 0 0 0 0 0 0 0 0 0 10 1.22994
8 0.0390269 0.408122 0 0 0.408122 0.0408662 279090 0 1218.86 0.0223937 78.2711 14112.8 0.00360596 0.800564 0 0 0 0 0 0 0 0 0 0 10 1.28791
9 0.0408662 0.406426 0 0 0.406426 0.0427921 305822 0 1424.12 0.0257074 78.2527 14110.5 0.00413348 0.801675 0 0 0 0 0 0 0 0 0 0 10 1.34861
10 0.0427921 0.404661 0 0 0.404661 0.0448088 335105 0 1648.21 0.0295111 78.2334 14108.2 0.00473782 0.80284 0 0 0 0 0 0 0 0 0 0 10 1.41216
11 0.0448088 0.402824 0 0 0.402824 0.0469206 367180 0 1892.8 0.0338773 78.2133 14105.8 0.00543012 0.804056 0 0 0 0 0 0 0 0 0 0 10 1.47872
12 0.0469206 0.400913 0 0 0.400913 0.0491319 402313 0 2159.72 0.0388889 78.1922 14103.3 0.006223 0.805341 0 0 0 0 0 0 0 0 0 0 10 1.54841
13 0.0491319 0.398925 0 0 0.398925 0.0514474 440792 0 2450.93 0.0446414 78.1702 14100.6 0.00713108 0.80668 0 0 0 0 0 0 0 0 0 0 10 1.62138
14 0.0514474 0.396858 0 0 0.396858 0.0538721 482934 0 2768.58 0.0512442 78.1472 14097.9 0.00817093 0.808086 0 0 0 0 0 0 0 0 0 0 10 1.69779
15 0.0538721 0.394709 0 0 0.394709 0.056411 529086 0 3114.99 0.0588229 78.123 14095 0.00936145 0.809565 0 0 0 0 0 0 0 0 0 0 10 1.77781
16 0.056411 0.392476 0 0 0.392476 0.0590696 579626 0 3492.66 0.0675216 78.0978 14091.9 0.0107245 0.811108 0 0 0 0 0 0 0 0 0 0 10 1.86159
17 0.0590696 0.390157 0 0 0.390157 0.0618534 634968 0 3904.33 0.0775057 78.0714 14088.7 0.0122847 0.812725 0 0 0 0 0 0 0 0 0 0 10 1.94933
18 0.0618534 0.387748 0 0 0.387748 0.0647685 695565 0 4352.91 0.0889649 78.0438 14085.4 0.0140703 0.814426 0 0 0 0 0 0 0 0 0 0 10 2.0412
19 0.0647685 0.385247 0 0 0.385247 0.0678209 761911 0 4841.6 0.102117 78.0149 14082 0.0161137 0.816202 0 0 0 0 0 0 0 0 0 0 10 2.1374
20 0.0678209 0.382653 0 0 0.382653 0.0710172 834546 0 5373.83 0.117212 77.9847 14078.3 0.0184515 0.818077 0 0 0 0 0 0 0 0 0 0 10 2.23813
21 0.0710172 0.379962 0 0 0.379962 0.0743642 914061 0 5953.29 0.134536 77.9531 14074.5 0.0211259 0.820036 0 0 0 0 0 0 0 0 0 0 10 2.34361
22 0.0743642 0.377171 0 0 0.377171 0.0778689 1.0011e+06 0 6583.98 0.154418 77.9201 14070.5 0.0241851 0.822085 0 0 0 0 0 0 0 0 0 0 10 2.45406
23 0.0778689 0.374279 0 0 0.374279 0.0815387 1.09637e+06 0 7270.21 0.177236 77.8856 14066.4 0.0276834 0.824238 0 0 0 0 0 0 0 0 0 0 10 2.56971
24 0.0815387 0.371282 0 0 0.371282 0.0853815 1.20065e+06 0 8016.6 0.203422 77.8494 14062 0.0316831 0.826501 0 0 0 0 0 0 0 0 0 0 10 2.69082
25 0.0853815 0.368179 0 0 0.368179 0.0894054 1.31476e+06 0 8828.16 0.233473 77.8117 14057.5 0.0362556 0.828867 0 0 0 0 0 0 0 0 0 0 10 2.81764
