#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
0 0.027 238.905 0 0 238.905 0.0282725 134136 0 52784.3 10.2292 106366 7871.9 126.512 0.0808557 0 0 1.48201e+10 0 0 0 0 0 0 0 0 10 0.891015
1 0.0282725 237.688 0 0 237.688 0.0296049 147013 0 110366 11.668 102609 8084.81 16.7142 0.0860827 0 0 1.4806e+10 0 0 0 0 0 0 0 0 10 0.933007
2 0.0296049 236.424 0 0 236.424 0.0310001 161122 0 173168 13.2615 98974.8 8302.88 17.3862 0.0916508 0 0 1.47913e+10 0 0 0 0 0 0 0 0 10 0.976978
3 0.0310001 235.113 0 0 235.113 0.0324611 176582 0 241647 15.026 95458.8 8526.22 18.0825 0.0975826 0 0 1.47759e+10 0 0 0 0 0 0 0 0 10 1.02302
4 0.0324611 233.751 0 0 233.751 0.033991 193521 0 316297 16.9798 92057.5 8754.92 18.804 0.103902 0 0 1.47598e+10 0 0 0 0 0 0 0 0 10 1.07124
5 0.033991 232.338 0 0 232.338 0.0355929 212079 0 397655 19.1429 88767.4 8989.07 19.5513 0.110635 0 0 1.47429e+10 0 0 0 0 0 0 0 0 10 1.12172
6 0.0355929 230.873 0 0 230.873 0.0372704 232412 0 486300 21.5373 85584.9 9228.77 20.3251 0.117809 0 0 1.47253e+10 0 0 0 0 0 0 0 0 10 1.17459
7 0.0372704 229.355 0 0 229.355 0.0390269 254687 0 582857 24.1877 82506.7 9474.11 21.1263 0.125453 0 0 1.47069e+10 0 0 0 0 0 0 0 0 10 1.22994
8 0.0390269 227.781 0 0 227.781 0.0408662 279090 0 688004 27.1209 79529.5 9725.19 21.9554 0.133599 0 0 1.46876e+10 0 0 0 0 0 0 0 0 10 1.28791
9 0.0408662 226.152 0 0 226.152 0.0427921 305822 0 802471 30.3668 76650.3 9982.1 22.8134 0.142279 0 0 1.46674e+10 0 0 0 0 0 0 0 0 10 1.34861
10 0.0427921 224.464 0 0 224.464 0.0448088 335105 0 927044 33.9581 73866 10244.9 41.2406 0.0870834 0 0 1.46464e+10 0 0 0 0 0 0 0 0 10 1.41216
11 0.0448088 222.719 0 0 222.719 0.0469206 367180 0 1.06257e+06 37.9313 71173.6 10513.8 77.5063 0.0512623 0 0 1.46243e+10 0 0 0 0 0 0 0 0 10 1.47872
12 0.0469206 220.913 0 0 220.913 0.0491319 402313 0 1.20997e+06 42.3262 68570.3 10788.7 145.345 0.030238 0 0 1.46013e+10 0 0 0 0 0 0 0 0 10 1.54841
13 0.0491319 219.046 0 0 219.046 0.0514474 440792 0 1.37023e+06 47.187 66053.3 11069.9 271.942 0.0178745 0 0 1.45772e+10 0 0 0 0 0 0 0 0 10 1.62138
14 0.0514474 217.118 0 0 217.118 0.0538721 482934 0 1.5444e+06 52.5624 63619.8 11357.3 470.547 0.0114236 0 0 1.4552e+10 0 0 0 0 0 0 0 0 10 1.69779
15 0.0538721 215.126 0 0 215.126 0.056411 529086 0 1.73362e+06 58.5059 61267.3 11651 747.034 0.00795617 0 0 1.45257e+10 0 0 0 0 0 0 0 0 10 1.77781
16 0.056411 213.071 0 0 213.071 0.0590696 579626 0 1.93912e+06 65.0767 58993.2 11951.3 1183.87 0.00555028 0 0 1.44982e+10 0 0 0 0 0 0 0 0 10 1.86159
17 0.0590696 210.951 0 0 210.951 0.0618534 634968 0 2.1622e+06 72.3399 56795.2 12258 1872.66 0.00387854 0 0 1.44694e+10 0 0 0 0 0 0 0 0 10 1.94933
18 0.0618534 208.766 0 0 208.766 0.0647685 695565 0 2.40426e+06 80.3672 54670.7 12571.4 2956.68 0.00271498 0 0 1.44394e+10 0 0 0 0 0 0 0 0 10 2.0412
19 0.0647685 206.514 0 0 206.514 0.0678209 761911 0 2.66682e+06 89.2377 52617.6 12891.4 3665.22 0.00231731 0 0 1.4408e+10 0 0 0 0 0 0 0 0 10 2.1374
20 0.0678209 204.196 0 0 204.196 0.0710172 834546 0 2.95148e+06 99.0383 50633.5 13218.2 3867.3 0.0020032 0 0 1.43752e+10 0 0 0 0 0 0 0 0 10 2.23813
21 0.0710172 201.811 0 0 201.811 0.0743642 914061 0 3.25996e+06 109.865 48716.3 13551.8 4079.85 0.00173332 0 0 1.43409e+10 0 0 0 0 0 0 0 0 10 2.34361
22 0.0743642 199.359 0 0 199.359 0.0778689 1.0011e+06 0 3.59408e+06 121.823 46864 13892.2 4303.37 0.00150129 0 0 1.43052e+10 0 0 0 0 0 0 0 0 10 2.45406
23 0.0778689 196.84 0 0 196.84 0.0815387 1.09637e+06 0 3.95582e+06 135.028 45074.4 14239.6 4538.36 0.00137517 0 0 1.42678e+10 0 0 0 0 0 0 0 0 10 2.56971
24 0.0815387 194.253 0 0 194.253 0.0853815 1.20065e+06 0 4.34723e+06 149.608 43345.6 14594.1 4785.36 0.00141148 0 0 1.42287e+10 0 0 0 0 0 0 0 0 10 2.69082
25 0.0853815 191.599 0 0 191.599 0.0894054 1.31476e+06 0 4.77055e+06 165.703 41675.7 14955.5 5044.9 0.0014491 0 0 1.4188e+10 0 0 0 0 0 0 0 0 10 2.81764
26 0.0894054 188.878 0 0 188.878 0.0936189 1.43963e+06 0 5.22812e+06 183.468 40062.9 15324.1 5317.55 0.0014881 0 0 1.41454e+10 0 0 0 0 0 0 0 0 10 2.95043
27 0.0936189 186.09 0 0 186.09 0.0980311 1.57626e+06 0 5.72243e+06 203.072 38505.2 15699.7 5603.88 0.00152852 0 0 1.4101e+10 0 0 0 0 0 0 0 0 10 3.08948
28 0.0980311 183.237 0 0 183.237 0.102651 1.72574e+06 0 6.25611e+06 224.7 37001.1 16082.6 5904.51 0.00163855 0 0 1.40546e+10 0 0 0 0 0 0 0 0 10 3.23508
29 0.102651 180.319 0 0 180.319 0.107489 1.88927e+06 0 6.83197e+06 248.559 35548.8 16472.6 6220.06 0.00180514 0 0 1.40062e+10 0 0 0 0 0 0 0 0 10 3.38754
30 0.107489 177.337 0 0 177.337 0.112555 2.06815e+06 0 7.45294e+06 274.871 34146.7 16869.8 6551.15 0.00198843 0 0 1.39557e+10 0 0 0 0 0 0 0 0 10 3.54719
31 0.112555 174.293 0 0 174.293 0.117859 2.26379e+06 0 8.12214e+06 303.885 32793.1 17274.3 6898.46 0.00219007 0 0 1.3903e+10 0 0 0 0 0 0 0 0 10 3.71437
32 0.117859 171.187 0 0 171.187 0.123414 2.47775e+06 0 8.84281e+06 335.869 31486.6 17686 7262.66 0.00241188 0 0 1.38481e+10 0 0 0 0 0 0 0 0 10 3.88942
33 0.123414 168.021 0 0 168.021 0.12923 2.7117e+06 0 9.61841e+06 371.122 30225.7 18104.9 7644.44 0.00270477 0 0 1.37908e+10 0 0 0 0 0 0 0 0 10 4.07272
34 0.12923 164.798 0 0 164.798 0.135321 2.96749e+06 0 1.04525e+07 409.968 29008.9 18531 8044.53 0.00304928 0 0 1.3731e+10 0 0 0 0 0 0 0 0 10 4.26466
