#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 0 0.027 82.744 0 0 82.744 0.0282725 0 0 0 0 0 10 0.891015
3 1 0.0282725 81.9959 0 0 81.9959 0.0296049 0 0 0 0 0 10 0.933007
3 2 0.0296049 81.2212 0 0 81.2212 0.0310001 0 0 0 0 0 10 0.976978
3 3 0.0310001 80.4194 0 0 80.4194 0.0324611 0 0 0 0 0 10 1.02302
3 4 0.0324611 79.59 0 0 79.59 0.033991 0 0 0 0 0 10 1.07124
3 5 0.033991 78.7324 0 0 78.7324 0.0355929 0 0 0 0 0 10 1.12172
3 6 0.0355929 77.8462 0 0 77.8462 0.0372704 0 0 0 0 0 10 1.17459
3 7 0.0372704 76.9311 0 0 76.9311 0.0390269 0 0 0 0 0 10 1.22994
3 8 0.0390269 75.9865 0 0 75.9865 0.0408662 0 0 0 0 0 10 1.28791
3 9 0.0408662 75.0122 0 0 75.0122 0.0427921 0 0 0 0 0 10 1.34861
3 10 0.0427921 74.008 0 0 74.008 0.0448088 0 0 0 0 0 10 1.41216
3 11 0.0448088 72.9735 0 0 72.9735 0.0469206 0 0 0 0 0 10 1.47872
3 12 0.0469206 71.9087 0 0 71.9087 0.0491319 0 0 0 0 0 10 1.54841
3 13 0.0491319 70.8134 0 0 70.8134 0.0514474 0 0 0 0 0 10 1.62138
3 14 0.0514474 69.6877 0 0 69.6877 0.0538721 0 0 0 0 0 10 1.69779
3 15 0.0538721 68.5316 0 0 68.5316 0.056411 0 0 0 0 0 10 1.77781
3 16 0.056411 67.3452 0 0 67.3452 0.0590696 0 0 0 0 0 10 1.86159
3 17 0.0590696 66.129 0 0 66.129 0.0618534 0 0 0 0 0 10 1.94933
3 18 0.0618534 64.8831 0 0 64.8831 0.0647685 0 0 0 0 0 10 2.0412
3 19 0.0647685 63.6081 0 0 63.6081 0.0678209 0 0 0 0 0 10 2.1374
3 20 0.0678209 62.3045 0 0 62.3045 0.0710172 0 0 0 0 0 10 2.23813
3 21 0.0710172 60.973 0 0 60.973 0.0743642 0 0 0 0 0 10 2.34361
3 22 0.0743642 59.6145 0 0 59.6145 0.0778689 0 0 0 0 0 10 2.45406
3 23 0.0778689 58.2298 0 0 58.2298 0.0815387 0 0 0 0 0 10 2.56971
3 24 0.0815387 56.8201 0 0 56.8201 0.0853815 0 0 0 0 0 10 2.69082
3 25 0.0853815 55.3865 0 0 55.3865 0.0894054 0 0 0 0 0 10 2.81764
3 26 0.0894054 53.9303 0 0 53.9303 0.0936189 0 0 0 0 0 10 2.95043
3 27 0.0936189 52.4531 0 0 52.4531 0.0980311 0 0 0 0 0 10 3.08948
3 28 0.0980311 50.9565 0 0 50.9565 0.102651 0 0 0 0 0 10 3.23508
3 29 0.102651 49.4422 0 0 49.4422 0.107489 0 0 0 0 0 10 3.38754
3 30 0.107489 47.912 0 0 47.912 0.112555 0 0 0 0 0 10 3.54719
3 31 0.112555 46.3681 0 0 46.3681 0.117859 0 0 0 0 0 10 3.71437
3 32 0.117859 44.8125 0 0 44.8125 0.123414 0 0 0 0 0 10 3.88942
3 33 0.123414 43.2477 0 0 43.2477 0.12923 0 0 0 0 0 10 4.07272
3 34 0.12923 41.6759 0 0 41.6759 0.135321 0 0 0 0 0 10 4.26466
3 35 0.135321 40.0997 0 0 40.0997 0.141698 0 0 0 0 0 10 4.46565
3 36 0.141698 38.5218 0 0 38.5218 0.148376 0 0 0 0 0 10 4.67611
3 37 0.148376 36.9449 0 0 36.9449 0.155369 0 0 0 0 0 10 4.89649
3 38 0.155369 35.3718 0 0 35.3718 0.162691 0 0 0 0 0 10 5.12725
3 39 0.162691 33.8055 0 0 33.8055 0.170358 0 0 0 0 0 10 5.36889
3 40 0.170358 32.2488 0 0 32.2488 0.178387 0 0 0 0 0 10 5.62192
3 41 0.178387 30.7047 0 0 30.7047 0.186794 0 0 0 0 0 10 5.88688
3 42 0.186794 29.1764 0 0 29.1764 0.195598 0 0 0 0 0 10 6.16432
3 43 0.195598 27.6668 0 0 27.6668 0.204816 0 0 0 0 0 10 6.45483
3 44 0.204816 26.1789 0 0 26.1789 0.214469 0 0 0 0 0 10 6.75904
3 45 0.214469 24.7158 0 0 24.7158 0.224576 0 0 0 0 0 10 7.07758
3 46 0.224576 23.2805 0 0 23.2805 0.23516 0 0 0 0 0 10 7.41114
3 47 0.23516 21.8757 0 0 21.8757 0.246243 0 0 0 0 0 10 7.76041
3 48 0.246243 20.5044 0 0 20.5044 0.257848 0 0 0 0 0 10 8.12615
3 49 0.257848 19.169 0 0 19.169 0.27 0 0 0 0 0 10 8.50912
3 50 0.27 17.8723 0 0 17.8723 0.282725 0 0 0 0 0 10 8.91015
3 51 0.282725 16.6166 0 0 16.6166 0.296049 0 0 0 0 0 10 9.33007
3 52 0.296049 15.4041 0 0 15.4041 0.310001 0 0 0 0 0 10 9.76978
3 53 0.310001 14.2367 0 0 14.2367 0.324611 0 0 0 0 0 10 10.2302
3 54 0.324611 13.1164 0 0 13.1164 0.33991 0 0 0 0 0 10 10.7124
3 55 0.33991 12.0446 0 0 12.0446 0.355929 0 0 0 0 0 10 11.2172
3 56 0.355929 11.0227 0 0 11.0227 0.372704 0 0 0 0 0 10 11.7459
3 57 0.372704 10.0518 0 0 10.0518 0.390269 0 0 0 0 0 10 12.2994
3 58 0.390269 9.13252 0 0 9.13252 0.408662 0 0 0 0 0 10 12.8791
3 59 0.408662 8.26546 0 0 8.26546 0.427921 0 0 0 0 0 10 13.4861
3 60 0.427921 7.45083 0 0 7.45083 0.448088 0 0 0 0 0 10 14.1216
3 61 0.448088 6.68853 0 0 6.68853 0.469206 0 0 0 0 0 10 14.7872
3 62 0.469206 5.97821 0 0 5.97821 0.491319 0 0 0 0 0 10 15.4841
3 63 0.491319 5.31921 0 0 5.31921 0.514474 0 0 0 0 0 10 16.2138
3 64 0.514474 4.71062 0 0 4.71062 0.538721 0 0 0 0 0 10 16.9779
3 65 0.538721 4.15123 0 0 4.15123 0.56411 0 0 0 0 0 10 17.7781
3 66 0.56411 3.63961 0 0 3.63961 0.590696 0 0 0 0 0 10 18.6159
3 67 0.590696 3.17408 0 0 3.17408 0.618534 0 0 0 0 0 10 19.4933
3 68 0.618534 2.75275 0 0 2.75275 0.647685 0 0 0 0 0 10 20.412
3 69 0.647685 2.37357 0 0 2.37357 0.678209 0 0 0 0 0 10 21.374
3 70 0.678209 2.03429 0 0 2.03429 0.710172 0 0 0 0 0 10 22.3813
3 71 0.710172 1.73256 0 0 1.73256 0.743642 0 0 0 0 0 10 23.4361
3 72 0.743642 1.46592 0 0 1.46592 0.778689 0 0 0 0 0 10 24.5406
3 73 0.778689 1.23185 0 0 1.23185 0.815387 0 0 0 0 0 10 25.6971
3 74 0.815387 1.02778 0 0 1.02778 0.853815 0 0 0 0 0 10 26.9082
3 75 0.853815 0.851138 0 0 0.851138 0.894054 0 0 0 0 0 10 28.1764
3 76 0.894054 0.69939 0 0 0.69939 0.936189 0 0 0 0 0 10 29.5043
3 77 0.936189 0.570045 0 0 0.570045 0.980311 0 0 0 0 0 10 30.8948
3 78 0.980311 0.460695 0 0 0.460695 1.02651 0 0 0 0 0 10 32.3508
3 79 1.02651 0.369038 0 0 0.369038 1.07489 0 0 0 0 0 10 33.8754
3 80 1.07489 0.292894 0 0 0.292894 1.12555 0 0 0 0 0 10 35.4719
3 81 1.12555 0.230226 0 0 0.230226 1.17859 0 0 0 0 0 10 37.1437
3 82 1.17859 0.179149 0 0 0.179149 1.23414 0 0 0 0 0 10 38.8942
3 83 1.23414 0.137943 0 0 0.137943 1.2923 0 0 0 0 0 10 40.7272
3 84 1.2923 0.10505 0 0 0.10505 1.35321 0 0 0 0 0 10 42.6466
3 85 1.35321 0.079086 0 0 0.079086 1.41698 0 0 0 0 0 10 44.6565
3 86 1.41698 0.0588273 0 0 0.0588273 1.48376 0 0 0 0 0 10 46.7611
3 87 1.48376 0.0432114 0 0 0.0432114 1.55369 0 0 0 0 0 10 48.9649
3 88 1.55369 0.0313266 0 0 0.0313266 1.62691 0 0 0 0 0 10 51.2725
3 89 1.62691 0.0224008 0 0 0.0224008 1.70358 0 0 0 0 0 10 53.6889
