#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
0 0.027 0.424766 0 0 0.424766 0.0282725 134136 0 93.6508 0.00741743 78.3526 14122.6 0.00932236 0.79566 0 0 9.23377e+08 0 0 0 0 0 0 0 0 10 0.891015
1 0.0282725 0.423535 0 0 0.423535 0.0296049 147013 0 196.039 0.00851593 78.3398 14121 0.00137928 0.796424 0 0 9.22604e+08 0 0 0 0 0 0 0 0 10 0.933007
2 0.0296049 0.422251 0 0 0.422251 0.0310001 161122 0 307.964 0.00977695 78.3265 14119.4 0.00158175 0.797232 0 0 9.21794e+08 0 0 0 0 0 0 0 0 10 0.976978
3 0.0310001 0.420913 0 0 0.420913 0.0324611 176582 0 430.298 0.0112245 78.3125 14117.7 0.00181387 0.798068 0 0 9.20947e+08 0 0 0 0 0 0 0 0 10 1.02302
4 0.0324611 0.419517 0 0 0.419517 0.033991 193521 0 563.989 0.0128863 78.2978 14116 0.00207991 0.798952 0 0 9.20061e+08 0 0 0 0 0 0 0 0 10 1.07124
5 0.033991 0.418063 0 0 0.418063 0.0355929 212079 0 710.07 0.0147939 78.2825 14114.1 0.00238482 0.799879 0 0 9.19135e+08 0 0 0 0 0 0 0 0 10 1.12172
6 0.0355929 0.416548 0 0 0.416548 0.0372704 232412 0 869.663 0.0169836 78.2664 14112.2 0.00273428 0.800844 0 0 9.18165e+08 0 0 0 0 0 0 0 0 10 1.17459
7 0.0372704 0.41497 0 0 0.41497 0.0390269 254687 0 1043.99 0.0194972 78.2497 14110.2 0.00313474 0.801855 0 0 9.17151e+08 0 0 0 0 0 0 0 0 10 1.22994
8 0.0390269 0.413326 0 0 0.413326 0.0408662 279090 0 1234.37 0.0223826 78.2321 14108.1 0.00359356 0.802926 0 0 9.16091e+08 0 0 0 0 0 0 0 0 10 1.28791
9 0.0408662 0.411614 0 0 0.411614 0.0427921 305822 0 1442.26 0.0256946 78.2137 14105.9 0.00411931 0.804034 0 0 9.14981e+08 0 0 0 0 0 0 0 0 10 1.34861
10 0.0427921 0.409832 0 0 0.409832 0.0448088 335105 0 1669.22 0.0294964 78.1945 14103.5 0.00472155 0.805206 0 0 9.13821e+08 0 0 0 0 0 0 0 0 10 1.41216
11 0.0448088 0.407978 0 0 0.407978 0.0469206 367180 0 1916.95 0.0338604 78.1744 14101.1 0.00541145 0.806428 0 0 9.12608e+08 0 0 0 0 0 0 0 0 10 1.47872
12 0.0469206 0.406049 0 0 0.406049 0.0491319 402313 0 2187.28 0.0388695 78.1533 14098.6 0.00620165 0.80771 0 0 9.1134e+08 0 0 0 0 0 0 0 0 10 1.54841
13 0.0491319 0.404042 0 0 0.404042 0.0514474 440792 0 2482.24 0.0446192 78.1313 14095.9 0.00710656 0.80906 0 0 9.10013e+08 0 0 0 0 0 0 0 0 10 1.62138
14 0.0514474 0.401955 0 0 0.401955 0.0538721 482934 0 2803.98 0.0512187 78.1082 14093.2 0.00814283 0.81047 0 0 9.08626e+08 0 0 0 0 0 0 0 0 10 1.69779
15 0.0538721 0.399786 0 0 0.399786 0.056411 529086 0 3154.85 0.0587936 78.0841 14090.3 0.00932938 0.811943 0 0 9.07176e+08 0 0 0 0 0 0 0 0 10 1.77781
16 0.056411 0.397532 0 0 0.397532 0.0590696 579626 0 3537.4 0.067488 78.0589 14087.2 0.0106877 0.813494 0 0 9.0566e+08 0 0 0 0 0 0 0 0 10 1.86159
17 0.0590696 0.395191 0 0 0.395191 0.0618534 634968 0 3954.38 0.0774671 78.0325 14084.1 0.0122425 0.815116 0 0 9.04075e+08 0 0 0 0 0 0 0 0 10 1.94933
18 0.0618534 0.392759 0 0 0.392759 0.0647685 695565 0 4408.78 0.0889206 78.0049 14080.7 0.014022 0.816821 0 0 9.02419e+08 0 0 0 0 0 0 0 0 10 2.0412
19 0.0647685 0.390234 0 0 0.390234 0.0678209 761911 0 4903.8 0.102066 77.9761 14077.3 0.0160583 0.81861 0 0 9.00688e+08 0 0 0 0 0 0 0 0 10 2.1374
20 0.0678209 0.387615 0 0 0.387615 0.0710172 834546 0 5442.94 0.117153 77.9459 14073.6 0.0183882 0.820483 0 0 8.98878e+08 0 0 0 0 0 0 0 0 10 2.23813
21 0.0710172 0.384897 0 0 0.384897 0.0743642 914061 0 6029.94 0.134469 77.9143 14069.8 0.0210536 0.822445 0 0 8.96988e+08 0 0 0 0 0 0 0 0 10 2.34361
22 0.0743642 0.38208 0 0 0.38208 0.0778689 1.0011e+06 0 6668.85 0.154341 77.8813 14065.9 0.0241022 0.824503 0 0 8.95012e+08 0 0 0 0 0 0 0 0 10 2.45406
23 0.0778689 0.379159 0 0 0.379159 0.0815387 1.09637e+06 0 7364.04 0.177147 77.8468 14061.7 0.0275882 0.82667 0 0 8.92949e+08 0 0 0 0 0 0 0 0 10 2.56971
24 0.0815387 0.376133 0 0 0.376133 0.0853815 1.20065e+06 0 8120.21 0.20332 77.8107 14057.4 0.0315744 0.828932 0 0 8.90792e+08 0 0 0 0 0 0 0 0 10 2.69082
