#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 0 0.027 0.0607579 0 0 0.0607579 0.0282725 0 0 0 0 0 10 0.891015
3 1 0.0282725 0.060368 0 0 0.060368 0.0296049 0 0 0 0 0 10 0.933007
3 2 0.0296049 0.0599627 0 0 0.0599627 0.0310001 0 0 0 0 0 10 0.976978
3 3 0.0310001 0.0595416 0 0 0.0595416 0.0324611 0 0 0 0 0 10 1.02302
3 4 0.0324611 0.0591041 0 0 0.0591041 0.033991 0 0 0 0 0 10 1.07124
3 5 0.033991 0.0586499 0 0 0.0586499 0.0355929 0 0 0 0 0 10 1.12172
3 6 0.0355929 0.0581785 0 0 0.0581785 0.0372704 0 0 0 0 0 10 1.17459
3 7 0.0372704 0.0576894 0 0 0.0576894 0.0390269 0 0 0 0 0 10 1.22994
3 8 0.0390269 0.0571821 0 0 0.0571821 0.0408662 0 0 0 0 0 10 1.28791
3 9 0.0408662 0.0566563 0 0 0.0566563 0.0427921 0 0 0 0 0 10 1.34861
3 10 0.0427921 0.0561114 0 0 0.0561114 0.0448088 0 0 0 0 0 10 1.41216
3 11 0.0448088 0.0555471 0 0 0.0555471 0.0469206 0 0 0 0 0 10 1.47872
3 12 0.0469206 0.054963 0 0 0.054963 0.0491319 0 0 0 0 0 10 1.54841
3 13 0.0491319 0.0543587 0 0 0.0543587 0.0514474 0 0 0 0 0 10 1.62138
3 14 0.0514474 0.0537338 0 0 0.0537338 0.0538721 0 0 0 0 0 10 1.69779
3 15 0.0538721 0.0530879 0 0 0.0530879 0.056411 0 0 0 0 0 10 1.77781
3 16 0.056411 0.0524209 0 0 0.0524209 0.0590696 0 0 0 0 0 10 1.86159
3 17 0.0590696 0.0517323 0 0 0.0517323 0.0618534 0 0 0 0 0 10 1.94933
3 18 0.0618534 0.051022 0 0 0.051022 0.0647685 0 0 0 0 0 10 2.0412
3 19 0.0647685 0.0502898 0 0 0.0502898 0.0678209 0 0 0 0 0 10 2.1374
3 20 0.0678209 0.0495355 0 0 0.0495355 0.0710172 0 0 0 0 0 10 2.23813
3 21 0.0710172 0.0487589 0 0 0.0487589 0.0743642 0 0 0 0 0 10 2.34361
3 22 0.0743642 0.0479602 0 0 0.0479602 0.0778689 0 0 0 0 0 10 2.45406
3 23 0.0778689 0.0471392 0 0 0.0471392 0.0815387 0 0 0 0 0 10 2.56971
3 24 0.0815387 0.0462961 0 0 0.0462961 0.0853815 0 0 0 0 0 10 2.69082
3 25 0.0853815 0.0454309 0 0 0.0454309 0.0894054 0 0 0 0 0 10 2.81764
3 26 0.0894054 0.044544 0 0 0.044544 0.0936189 0 0 0 0 0 10 2.95043
3 27 0.0936189 0.0436355 0 0 0.0436355 0.0980311 0 0 0 0 0 10 3.08948
3 28 0.0980311 0.042706 0 0 0.042706 0.102651 0 0 0 0 0 10 3.23508
3 29 0.102651 0.0417557 0 0 0.0417557 0.107489 0 0 0 0 0 10 3.38754
3 30 0.107489 0.0407854 0 0 0.0407854 0.112555 0 0 0 0 0 10 3.54719
