#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
0 0.027 578.814 0 0 578.814 0.0282725 134136 0 127884 10.2333 106408 7871.9 126.613 0.0808236 0 0 3.75109e+10 0 0 0 0 0 0 0 0 10 0.891015
1 0.0282725 574.236 0 0 574.236 0.0296049 147013 0 266998 11.6727 102650 8084.81 16.7275 0.0860485 0 0 3.74539e+10 0 0 0 0 0 0 0 0 10 0.933007
2 0.0296049 569.502 0 0 569.502 0.0310001 161122 0 418275 13.2667 99014.1 8302.88 17.4 0.0916144 0 0 3.73943e+10 0 0 0 0 0 0 0 0 10 0.976978
3 0.0310001 564.61 0 0 564.61 0.0324611 176582 0 582722 15.032 95496.7 8526.22 18.0969 0.0975439 0 0 3.73321e+10 0 0 0 0 0 0 0 0 10 1.02302
4 0.0324611 559.557 0 0 559.557 0.033991 193521 0 761421 16.9865 92094.1 8754.92 18.8189 0.103861 0 0 3.7267e+10 0 0 0 0 0 0 0 0 10 1.07124
5 0.033991 554.34 0 0 554.34 0.0355929 212079 0 955534 19.1505 88802.6 8989.07 19.5668 0.110591 0 0 3.71989e+10 0 0 0 0 0 0 0 0 10 1.12172
6 0.0355929 548.957 0 0 548.957 0.0372704 232412 0 1.16631e+06 21.5459 85618.8 9228.77 20.3413 0.117762 0 0 3.71278e+10 0 0 0 0 0 0 0 0 10 1.17459
7 0.0372704 543.407 0 0 543.407 0.0390269 254687 0 1.39508e+06 24.1973 82539.4 9474.11 21.1431 0.125403 0 0 3.70535e+10 0 0 0 0 0 0 0 0 10 1.22994
8 0.0390269 537.687 0 0 537.687 0.0408662 279090 0 1.64328e+06 27.1317 79561.1 9725.19 21.9729 0.133545 0 0 3.69758e+10 0 0 0 0 0 0 0 0 10 1.28791
9 0.0408662 531.796 0 0 531.796 0.0427921 305822 0 1.91245e+06 30.3788 76680.8 9982.1 22.8315 0.142222 0 0 3.68947e+10 0 0 0 0 0 0 0 0 10 1.34861
10 0.0427921 525.733 0 0 525.733 0.0448088 335105 0 2.20422e+06 33.9716 73895.4 10244.9 41.2733 0.0870489 0 0 3.68099e+10 0 0 0 0 0 0 0 0 10 1.41216
11 0.0448088 519.496 0 0 519.496 0.0469206 367180 0 2.52034e+06 37.9464 71201.9 10513.8 77.5678 0.0512419 0 0 3.67213e+10 0 0 0 0 0 0 0 0 10 1.47872
12 0.0469206 513.086 0 0 513.086 0.0491319 402313 0 2.86269e+06 42.343 68597.5 10788.7 145.46 0.030226 0 0 3.66288e+10 0 0 0 0 0 0 0 0 10 1.54841
13 0.0491319 506.502 0 0 506.502 0.0514474 440792 0 3.23325e+06 47.2058 66079.5 11069.9 272.158 0.0178674 0 0 3.65322e+10 0 0 0 0 0 0 0 0 10 1.62138
14 0.0514474 499.744 0 0 499.744 0.0538721 482934 0 3.63414e+06 52.5833 63645 11357.3 470.921 0.0114191 0 0 3.64312e+10 0 0 0 0 0 0 0 0 10 1.69779
15 0.0538721 492.814 0 0 492.814 0.056411 529086 0 4.0676e+06 58.5292 61291.6 11651 747.627 0.00795301 0 0 3.63259e+10 0 0 0 0 0 0 0 0 10 1.77781
16 0.056411 485.711 0 0 485.711 0.0590696 579626 0 4.53604e+06 65.1026 59016.7 11951.3 1184.81 0.00554808 0 0 3.62159e+10 0 0 0 0 0 0 0 0 10 1.86159
17 0.0590696 478.437 0 0 478.437 0.0618534 634968 0 5.04198e+06 72.3686 56817.7 12258 1874.15 0.003877 0 0 3.6101e+10 0 0 0 0 0 0 0 0 10 1.94933
18 0.0618534 470.995 0 0 470.995 0.0647685 695565 0 5.5881e+06 80.3991 54692.4 12571.4 2959.03 0.0027139 0 0 3.59812e+10 0 0 0 0 0 0 0 0 10 2.0412
19 0.0647685 463.387 0 0 463.387 0.0678209 761911 0 6.17724e+06 89.2731 52638.5 12891.4 3666.68 0.00231639 0 0 3.58561e+10 0 0 0 0 0 0 0 0 10 2.1374
20 0.0678209 455.615 0 0 455.615 0.0710172 834546 0 6.81238e+06 99.0776 50653.6 13218.2 3868.83 0.00200241 0 0 3.57256e+10 0 0 0 0 0 0 0 0 10 2.23813
21 0.0710172 447.683 0 0 447.683 0.0743642 914061 0 7.49668e+06 109.908 48735.7 13551.8 4081.47 0.00173263 0 0 3.55894e+10 0 0 0 0 0 0 0 0 10 2.34361
22 0.0743642 439.596 0 0 439.596 0.0778689 1.0011e+06 0 8.23344e+06 121.871 46882.6 13892.2 4305.08 0.00150069 0 0 3.54474e+10 0 0 0 0 0 0 0 0 10 2.45406
23 0.0778689 431.356 0 0 431.356 0.0815387 1.09637e+06 0 9.02613e+06 135.082 45092.3 14239.6 4540.17 0.00137462 0 0 3.52993e+10 0 0 0 0 0 0 0 0 10 2.56971
24 0.0815387 422.971 0 0 422.971 0.0853815 1.20065e+06 0 9.87841e+06 149.667 43362.8 14594.1 4787.26 0.00141092 0 0 3.51449e+10 0 0 0 0 0 0 0 0 10 2.69082
25 0.0853815 414.444 0 0 414.444 0.0894054 1.31476e+06 0 1.07941e+07 165.769 41692.3 14955.5 5046.9 0.00144853 0 0 3.4984e+10 0 0 0 0 0 0 0 0 10 2.81764
26 0.0894054 405.783 0 0 405.783 0.0936189 1.43963e+06 0 1.17771e+07 183.541 40078.8 15324.1 5319.66 0.00148751 0 0 3.48162e+10 0 0 0 0 0 0 0 0 10 2.95043
27 0.0936189 396.993 0 0 396.993 0.0980311 1.57626e+06 0 1.28316e+07 203.152 38520.5 15699.7 5606.11 0.00152792 0 0 3.46414e+10 0 0 0 0 0 0 0 0 10 3.08948
28 0.0980311 388.083 0 0 388.083 0.102651 1.72574e+06 0 1.39619e+07 224.789 37015.8 16082.6 5906.86 0.0016379 0 0 3.44593e+10 0 0 0 0 0 0 0 0 10 3.23508
29 0.102651 379.06 0 0 379.06 0.107489 1.88927e+06 0 1.51724e+07 248.657 35562.9 16472.6 6222.52 0.00180442 0 0 3.42696e+10 0 0 0 0 0 0 0 0 10 3.38754
30 0.107489 369.931 0 0 369.931 0.112555 2.06815e+06 0 1.64678e+07 274.98 34160.2 16869.8 6553.75 0.00198764 0 0 3.40722e+10 0 0 0 0 0 0 0 0 10 3.54719
31 0.112555 360.707 0 0 360.707 0.117859 2.26379e+06 0 1.78527e+07 304.005 32806.1 17274.3 6901.2 0.0021892 0 0 3.38666e+10 0 0 0 0 0 0 0 0 10 3.71437
32 0.117859 351.397 0 0 351.397 0.123414 2.47775e+06 0 1.9332e+07 336.003 31499.1 17686 7265.54 0.00241092 0 0 3.36527e+10 0 0 0 0 0 0 0 0 10 3.88942
33 0.123414 342.009 0 0 342.009 0.12923 2.7117e+06 0 2.09107e+07 371.269 30237.7 18104.9 7647.47 0.00270369 0 0 3.34301e+10 0 0 0 0 0 0 0 0 10 4.07272
34 0.12923 332.556 0 0 332.556 0.135321 2.96749e+06 0 2.25939e+07 410.131 29020.4 18531 8047.72 0.00304807 0 0 3.31986e+10 0 0 0 0 0 0 0 0 10 4.26466
35 0.135321 323.046 0 0 323.046 0.141698 3.24712e+06 0 2.43867e+07 452.944 27845.9 18964.3 8467.01 0.00343531 0 0 3.2958e+10 0 0 0 0 0 0 0 0 10 4.46565
36 0.141698 313.493 0 0 313.493 0.148376 3.55276e+06 0 2.62943e+07 500.099 26712.7 19404.8 8906.09 0.00387065 0 0 3.27078e+10 0 0 0 0 0 0 0 0 10 4.67611
37 0.148376 303.906 0 0 303.906 0.155369 3.88679e+06 0 2.8322e+07 552.026 25619.6 19852.4 9365.73 0.00435985 0 0 3.2448e+10 0 0 0 0 0 0 0 0 10 4.89649
38 0.155369 294.299 0 0 294.299 0.162691 4.25179e+06 0 3.0475e+07 609.192 24565.3 20307 9846.72 0.00488465 0 0 3.2178e+10 0 0 0 0 0 0 0 0 10 5.12725
39 0.162691 284.683 0 0 284.683 0.170358 4.65057e+06 0 3.27586e+07 672.11 23548.6 20768.6 10349.9 0.00546325 0 0 3.18978e+10 0 0 0 0 0 0 0 0 10 5.36889
40 0.170358 275.071 0 0 275.071 0.178387 5.08619e+06 0 3.51779e+07 741.343 22568.2 21237.1 10875.9 0.00610875 0 0 3.1607e+10 0 0 0 0 0 0 0 0 10 5.62192
41 0.178387 265.475 0 0 265.475 0.186794 5.56197e+06 0 3.77382e+07 817.504 21623.1 21712.5 11153.3 0.00682859 0 0 3.13053e+10 0 0 0 0 0 0 0 0 10 5.88688
42 0.186794 255.91 0 0 255.91 0.195598 6.08152e+06 0 4.04442e+07 901.265 20712 22194.5 10976.1 0.00763115 0 0 3.09925e+10 0 0 0 0 0 0 0 0 10 6.16432
43 0.195598 246.387 0 0 246.387 0.204816 6.64876e+06 0 4.3301e+07 993.357 19833.9 22683.1 10830.2 0.0085033 0 0 3.06682e+10 0 0 0 0 0 0 0 0 10 6.45483
44 0.204816 236.921 0 0 236.921 0.214469 7.26795e+06 0 4.6313e+07 1094.58 18987.8 23178.2 10704.4 0.00945647 0 0 3.03324e+10 0 0 0 0 0 0 0 0 10 6.75904
45 0.214469 227.524 0 0 227.524 0.224576 7.94371e+06 0 4.94846e+07 1205.82 18172.6 23679.6 10579.8 0.0105136 0 0 2.99846e+10 0 0 0 0 0 0 0 0 10 7.07758
46 0.224576 218.209 0 0 218.209 0.23516 8.68106e+06 0 5.28197e+07 1328.01 17387.3 24187.2 10456.5 0.0116858 0 0 2.96248e+10 0 0 0 0 0 0 0 0 10 7.41114
47 0.23516 208.991 0 0 208.991 0.246243 9.48544e+06 0 5.63222e+07 1462.2 16631 24700.7 10334.5 0.0129851 0 0 2.92526e+10 0 0 0 0 0 0 0 0 10 7.76041
48 0.246243 199.881 0 0 199.881 0.257848 1.03627e+07 0 5.99952e+07 1609.53 15902.7 25219.9 10221.8 0.0144132 0 0 2.88678e+10 0 0 0 0 0 0 0 0 10 8.12615
49 0.257848 190.894 0 0 190.894 0.27 1.13194e+07 0 6.38414e+07 1771.23 15201.5 25744.7 10143.5 0.0159409 0 0 2.84704e+10 0 0 0 0 0 0 0 0 10 8.50912
50 0.27 182.041 0 0 182.041 0.282725 1.23622e+07 0 6.78631e+07 1948.64 14526.6 26274.8 10065.2 0.0176262 0 0 2.80601e+10 0 0 0 0 0 0 0 0 10 8.91015
51 0.282725 173.335 0 0 173.335 0.296049 1.34987e+07 0 7.20618e+07 2143.22 13877.1 26810 9986.78 0.0194844 0 0 2.76368e+10 0 0 0 0 0 0 0 0 10 9.33007
52 0.296049 164.788 0 0 164.788 0.310001 1.4737e+07 0 7.64387e+07 2356.58 13252.2 27349.9 9908.36 0.0215328 0 0 2.72004e+10 0 0 0 0 0 0 0 0 10 9.76978
53 0.310001 156.411 0 0 156.411 0.324611 1.60859e+07 0 8.09938e+07 2590.43 12651 27894.3 9829.93 0.0237898 0 0 2.67508e+10 0 0 0 0 0 0 0 0 10 10.2302
54 0.324611 148.216 0 0 148.216 0.33991 1.75547e+07 0 8.57266e+07 2846.66 12072.9 28442.8 9747.38 0.0262869 0 0 2.62879e+10 0 0 0 0 0 0 0 0 10 10.7124
55 0.33991 140.212 0 0 140.212 0.355929 1.91537e+07 0 9.06359e+07 3127.3 11517.1 28995.1 9660.53 0.0290507 0 0 2.58119e+10 0 0 0 0 0 0 0 0 10 11.2172
56 0.355929 132.411 0 0 132.411 0.372704 2.08938e+07 0 9.57192e+07 3434.58 10982.8 29551 9573.83 0.0320953 0 0 2.53226e+10 0 0 0 0 0 0 0 0 10 11.7459
57 0.372704 124.82 0 0 124.82 0.390269 2.2787e+07 0 1.00973e+08 3770.88 10469.3 30109.9 9487.33 0.0354477 0 0 2.48203e+10 0 0 0 0 0 0 0 0 10 12.2994
58 0.390269 117.449 0 0 117.449 0.408662 2.4846e+07 0 1.06394e+08 4138.82 9975.96 30671.4 9400.99 0.0391378 0 0 2.43049e+10 0 0 0 0 0 0 0 0 10 12.8791
59 0.408662 110.306 0 0 110.306 0.427921 2.70844e+07 0 1.11976e+08 4541.2 9502.13 31235.2 9314.79 0.043198 0 0 2.37767e+10 0 0 0 0 0 0 0 0 10 13.4861
60 0.427921 103.396 0 0 103.396 0.448088 2.95171e+07 0 1.17714e+08 4981.07 9047.15 31800.9 9226.95 0.0476726 0 0 2.32359e+10 0 0 0 0 0 0 0 0 10 14.1216
61 0.448088 96.7268 0 0 96.7268 0.469206 3.216e+07 0 1.23599e+08 5461.73 8610.4 32367.8 9135.4 0.0526152 0 0 2.26828e+10 0 0 0 0 0 0 0 0 10 14.7872
62 0.469206 90.303 0 0 90.303 0.491319 3.503e+07 0 1.29623e+08 5986.74 8191.27 32935.6 9044.22 0.0580491 0 0 2.21177e+10 0 0 0 0 0 0 0 0 10 15.4841
63 0.491319 84.1291 0 0 84.1291 0.514474 3.81455e+07 0 1.35777e+08 6559.94 7789.18 33503.6 8953.39 0.0640205 0 0 2.15411e+10 0 0 0 0 0 0 0 0 10 16.2138
64 0.514474 78.2084 0 0 78.2084 0.538721 4.1526e+07 0 1.42049e+08 7185.48 7403.55 34071.5 8862.9 0.0705797 0 0 2.09534e+10 0 0 0 0 0 0 0 0 10 16.9779
65 0.538721 72.5433 0 0 72.5433 0.56411 4.51925e+07 0 1.48429e+08 7867.83 7033.84 34638.5 8772.73 0.0777809 0 0 2.03553e+10 0 0 0 0 0 0 0 0 10 17.7781
66 0.56411 67.1353 0 0 67.1353 0.590696 4.91673e+07 0 1.54902e+08 8611.81 6679.51 35204.2 8682.92 0.085683 0 0 1.97472e+10 0 0 0 0 0 0 0 0 10 18.6159
