#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  SDensityOFR SDensityCAR MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 0 0.027 192.821 0 0 192.821 0.0282725 0 0 8.61928e+11 0 0 0 0 10 0.891015
3 1 0.0282725 190.086 0 0 190.086 0.0296049 0 0 8.54783e+11 0 0 0 0 10 0.933007
3 2 0.0296049 187.272 0 0 187.272 0.0310001 0 0 8.47365e+11 0 0 0 0 10 0.976978
3 3 0.0310001 184.378 0 0 184.378 0.0324611 0 0 8.39666e+11 0 0 0 0 10 1.02302
3 4 0.0324611 181.405 0 0 181.405 0.033991 0 0 8.31679e+11 0 0 0 0 10 1.07124
3 5 0.033991 178.352 0 0 178.352 0.0355929 0 0 8.23397e+11 0 0 0 0 10 1.12172
3 6 0.0355929 175.221 0 0 175.221 0.0372704 0 0 8.14813e+11 0 0 0 0 10 1.17459
3 7 0.0372704 172.011 0 0 172.011 0.0390269 0 0 8.0592e+11 0 0 0 0 10 1.22994
3 8 0.0390269 168.724 0 0 168.724 0.0408662 0 0 7.96713e+11 0 0 0 0 10 1.28791
3 9 0.0408662 165.362 0 0 165.362 0.0427921 0 0 7.87184e+11 0 0 0 0 10 1.34861
3 10 0.0427921 161.926 0 0 161.926 0.0448088 0 0 7.77328e+11 0 0 0 0 10 1.41216
3 11 0.0448088 158.417 0 0 158.417 0.0469206 0 0 7.6714e+11 0 0 0 0 10 1.47872
3 12 0.0469206 154.839 0 0 154.839 0.0491319 0 0 7.56615e+11 0 0 0 0 10 1.54841
3 13 0.0491319 151.193 0 0 151.193 0.0514474 0 0 7.45749e+11 0 0 0 0 10 1.62138
3 14 0.0514474 147.483 0 0 147.483 0.0538721 0 0 7.34537e+11 0 0 0 0 10 1.69779
3 15 0.0538721 143.712 0 0 143.712 0.056411 0 0 7.22978e+11 0 0 0 0 10 1.77781
3 16 0.056411 139.883 0 0 139.883 0.0590696 0 0 7.11069e+11 0 0 0 0 10 1.86159
3 17 0.0590696 136 0 0 136 0.0618534 0 0 6.9881e+11 0 0 0 0 10 1.94933
3 18 0.0618534 132.068 0 0 132.068 0.0647685 0 0 6.86198e+11 0 0 0 0 10 2.0412
3 19 0.0647685 128.092 0 0 128.092 0.0678209 0 0 6.73237e+11 0 0 0 0 10 2.1374
3 20 0.0678209 124.076 0 0 124.076 0.0710172 0 0 6.59926e+11 0 0 0 0 10 2.23813
3 21 0.0710172 120.026 0 0 120.026 0.0743642 0 0 6.46271e+11 0 0 0 0 10 2.34361
3 22 0.0743642 115.948 0 0 115.948 0.0778689 0 0 6.32274e+11 0 0 0 0 10 2.45406
3 23 0.0778689 111.848 0 0 111.848 0.0815387 0 0 6.17943e+11 0 0 0 0 10 2.56971
3 24 0.0815387 107.732 0 0 107.732 0.0853815 0 0 6.03284e+11 0 0 0 0 10 2.69082
3 25 0.0853815 103.607 0 0 103.607 0.0894054 0 0 5.88308e+11 0 0 0 0 10 2.81764
3 26 0.0894054 99.4804 0 0 99.4804 0.0936189 0 0 5.73023e+11 0 0 0 0 10 2.95043
3 27 0.0936189 95.3587 0 0 95.3587 0.0980311 0 0 5.57444e+11 0 0 0 0 10 3.08948
3 28 0.0980311 91.2495 0 0 91.2495 0.102651 0 0 5.41584e+11 0 0 0 0 10 3.23508
3 29 0.102651 87.1607 0 0 87.1607 0.107489 0 0 5.2546e+11 0 0 0 0 10 3.38754
3 30 0.107489 83.0998 0 0 83.0998 0.112555 0 0 5.09091e+11 0 0 0 0 10 3.54719
3 31 0.112555 79.0748 0 0 79.0748 0.117859 0 0 4.92496e+11 0 0 0 0 10 3.71437
3 32 0.117859 75.0936 0 0 75.0936 0.123414 0 0 4.75699e+11 0 0 0 0 10 3.88942
3 33 0.123414 71.1641 0 0 71.1641 0.12923 0 0 4.58724e+11 0 0 0 0 10 4.07272
3 34 0.12923 67.2941 0 0 67.2941 0.135321 0 0 4.41598e+11 0 0 0 0 10 4.26466
3 35 0.135321 63.4915 0 0 63.4915 0.141698 0 0 4.24349e+11 0 0 0 0 10 4.46565
3 36 0.141698 59.7639 0 0 59.7639 0.148376 0 0 4.07009e+11 0 0 0 0 10 4.67611
3 37 0.148376 56.1187 0 0 56.1187 0.155369 0 0 3.89611e+11 0 0 0 0 10 4.89649
3 38 0.155369 52.5631 0 0 52.5631 0.162691 0 0 3.7219e+11 0 0 0 0 10 5.12725
3 39 0.162691 49.1039 0 0 49.1039 0.170358 0 0 3.54782e+11 0 0 0 0 10 5.36889
3 40 0.170358 45.7475 0 0 45.7475 0.178387 0 0 3.37425e+11 0 0 0 0 10 5.62192
3 41 0.178387 42.5002 0 0 42.5002 0.186794 0 0 3.2016e+11 0 0 0 0 10 5.88688
3 42 0.186794 39.3674 0 0 39.3674 0.195598 0 0 3.03027e+11 0 0 0 0 10 6.16432
3 43 0.195598 36.3541 0 0 36.3541 0.204816 0 0 2.86069e+11 0 0 0 0 10 6.45483
3 44 0.204816 33.4649 0 0 33.4649 0.214469 0 0 2.69328e+11 0 0 0 0 10 6.75904
3 45 0.214469 30.7036 0 0 30.7036 0.224576 0 0 2.52847e+11 0 0 0 0 10 7.07758
3 46 0.224576 28.0733 0 0 28.0733 0.23516 0 0 2.36669e+11 0 0 0 0 10 7.41114
3 47 0.23516 25.5767 0 0 25.5767 0.246243 0 0 2.20836e+11 0 0 0 0 10 7.76041
3 48 0.246243 23.2155 0 0 23.2155 0.257848 0 0 2.05392e+11 0 0 0 0 10 8.12615
3 49 0.257848 20.9907 0 0 20.9907 0.27 0 0 1.90376e+11 0 0 0 0 10 8.50912
3 50 0.27 18.9027 0 0 18.9027 0.282725 0 0 1.75828e+11 0 0 0 0 10 8.91015
3 51 0.282725 16.951 0 0 16.951 0.296049 0 0 1.61784e+11 0 0 0 0 10 9.33007
3 52 0.296049 15.1344 0 0 15.1344 0.310001 0 0 1.48279e+11 0 0 0 0 10 9.76978
3 53 0.310001 13.4511 0 0 13.4511 0.324611 0 0 1.35344e+11 0 0 0 0 10 10.2302
3 54 0.324611 11.8984 0 0 11.8984 0.33991 0 0 1.23008e+11 0 0 0 0 10 10.7124
3 55 0.33991 10.473 0 0 10.473 0.355929 0 0 1.11293e+11 0 0 0 0 10 11.2172
3 56 0.355929 9.17093 0 0 9.17093 0.372704 0 0 1.0022e+11 0 0 0 0 10 11.7459
3 57 0.372704 7.98773 0 0 7.98773 0.390269 0 0 8.98044e+10 0 0 0 0 10 12.2994
3 58 0.390269 6.91833 0 0 6.91833 0.408662 0 0 8.0056e+10 0 0 0 0 10 12.8791
3 59 0.408662 5.95721 0 0 5.95721 0.427921 0 0 7.09804e+10 0 0 0 0 10 13.4861
