#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
0 0.0315009 0.0329855 0.0092157 206.694 19913.5 206.057 0.636872 507865 5.98927e+06 61591.3 737.171 4.83246e+06 50629.6 2.91605e+06 1.75448e-05 1.08446e+14 9.92868e+10 1.91057e+12 8.33287 0 0 8000.89 323755 26.6019 1076.44 0.128702 0.0540559 1.17223e+11 9.98021e+11
1 0.0329855 0.0345401 0.00965002 206.638 19778 206.001 0.637213 556819 1.25117e+07 129107 841.269 4.67466e+06 52094.6 393252 1.7719e-05 1.08407e+14 9.9251e+10 1.91008e+12 8.31817 0 0 8764.78 352446 26.5776 1068.73 0.128619 0.0540362 1.17223e+11 9.98021e+11
2 0.0345401 0.0361679 0.0101048 206.581 19633.4 205.943 0.637571 610490 1.96111e+07 203115 956.882 4.5218e+06 53600.2 417092 1.78965e-05 1.08366e+14 9.92135e+10 1.90957e+12 8.30151 0 0 9601.18 383568 26.5521 1060.76 0.128531 0.0540284 1.17223e+11 9.98021e+11
3 0.0361679 0.0378724 0.010581 206.52 19484.1 205.882 0.637943 669331 2.73362e+07 284241 1085.28 4.37371e+06 55147.4 442354 1.8077e-05 1.08323e+14 9.91743e+10 1.90904e+12 8.28415 0 0 10517 417314 26.5256 1052.54 0.12844 0.0540202 1.17223e+11 9.98021e+11
4 0.0378724 0.0396573 0.0110797 206.457 19330.2 205.819 0.638329 733841 3.57397e+07 373165 1227.86 4.23025e+06 56737.4 469123 1.82749e-05 1.08278e+14 9.91334e+10 1.90848e+12 8.26615 0 0 11519.7 453888 26.4981 1044.05 0.128346 0.0540116 1.17223e+11 9.98021e+11
5 0.0396573 0.0415263 0.0116019 206.391 19171.5 205.753 0.638731 804565 4.48784e+07 470638 1386.18 4.09129e+06 58371.2 497486 1.85491e-05 1.08232e+14 9.90906e+10 1.9079e+12 8.24744 0 0 12617.4 493511 26.4694 1035.31 0.128249 0.0540025 1.17223e+11 9.98021e+11
6 0.0415263 0.0434834 0.0121487 206.322 19008.1 205.683 0.63915 882102 5.48133e+07 577479 1561.98 3.95668e+06 60049.9 527535 1.88289e-05 1.08183e+14 9.90459e+10 1.90729e+12 8.22792 0 0 13819.1 536418 26.4395 1026.31 0.128147 0.0539931 1.17223e+11 9.98021e+11
7 0.0434834 0.0455327 0.0127212 206.25 18839.9 205.61 0.639587 967106 6.56103e+07 694587 1757.18 3.82629e+06 61774.7 559369 1.91143e-05 1.08132e+14 9.89991e+10 1.90665e+12 8.20741 0 0 15134.5 582858 26.4084 1017.04 0.128041 0.0539832 1.17223e+11 9.98021e+11
8 0.0455327 0.0476786 0.0133207 206.175 18666.8 205.535 0.640043 1.0603e+06 7.73403e+07 822946 1973.9 3.69999e+06 63546.6 593090 1.98337e-05 1.08078e+14 9.89501e+10 1.90598e+12 8.18625 0 0 16574.2 633099 26.376 1007.5 0.12793 0.0539729 1.17223e+11 9.98021e+11
9 0.0476786 0.0499256 0.0139485 206.096 18488.9 205.455 0.640514 1.16246e+06 9.00793e+07 963636 2214.5 3.57765e+06 65366.9 628810 2.04772e-05 1.08022e+14 9.8899e+10 1.90528e+12 8.16425 0 0 18150.2 687426 26.3424 997.7 0.127816 0.0539621 1.17223e+11 9.98021e+11
