#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 0 0.0315009 0.0329855 0.0558628 6929.76 13349.4 6929 0.758559 1.14259e+16 6.31928e+11 1.41295e+13 -0.0181515 0.0449729 0.0197976 4.01502e+06 6.06214e+09 1.53804e+11
3 1 0.0329855 0.0345401 0.0584955 6902.97 13205.1 6902.21 0.761101 1.1367e+16 6.28671e+11 1.4108e+13 -0.0215363 0.0447903 0.0197242 8.3698e+06 6.06214e+09 1.53804e+11
3 2 0.0345401 0.0361679 0.0612523 6874.88 13056.4 6874.12 0.763756 1.13054e+16 6.25262e+11 1.40856e+13 -0.0251908 0.0446011 0.0196486 1.3091e+07 6.06214e+09 1.53804e+11
3 3 0.0361679 0.0378724 0.0641391 6845.7 12903.2 6844.93 0.766535 1.12414e+16 6.21724e+11 1.40622e+13 -0.0289918 0.0444044 0.0195699 1.82069e+07 6.06214e+09 1.53804e+11
3 4 0.0378724 0.0396573 0.0671619 6815.61 12745.3 6814.84 0.769456 1.11755e+16 6.18082e+11 1.40377e+13 -0.0327374 0.0441995 0.019487 2.37477e+07 6.06214e+09 1.53804e+11
3 5 0.0396573 0.0415263 0.0703271 6784.3 12582.9 6783.53 0.772513 1.11071e+16 6.14297e+11 1.40121e+13 -0.0366002 0.0439869 0.0194009 2.97457e+07 6.06214e+09 1.53804e+11
3 6 0.0415263 0.0434834 0.0736415 6751.76 12416 6750.99 0.775714 1.10361e+16 6.1037e+11 1.39854e+13 -0.0406741 0.0437662 0.0193115 3.62352e+07 6.06214e+09 1.53804e+11
3 7 0.0434834 0.0455327 0.0771121 6717.92 12244.6 6717.14 0.779064 1.09624e+16 6.06293e+11 1.39574e+13 -0.0452078 0.0435375 0.0192188 4.32525e+07 6.06214e+09 1.53804e+11
3 8 0.0455327 0.0476786 0.0807463 6682.74 12068.7 6681.96 0.782569 1.08859e+16 6.02062e+11 1.39282e+13 -0.0496586 0.0433004 0.0191227 5.08362e+07 6.06214e+09 1.53804e+11
3 9 0.0476786 0.0499256 0.0845518 6646.53 11888 6645.75 0.786254 1.08073e+16 5.97715e+11 1.38976e+13 -0.0541728 0.0430538 0.0190216 5.90272e+07 6.06214e+09 1.53804e+11
3 10 0.0499256 0.0522785 0.0885366 6608.47 11703.3 6607.68 0.790088 1.07248e+16 5.93153e+11 1.38657e+13 -0.0586832 0.0427998 0.0189189 6.78689e+07 6.06214e+09 1.53804e+11
3 11 0.0522785 0.0547423 0.0927092 6568.89 11514.4 6568.1 0.794095 1.06392e+16 5.88419e+11 1.38324e+13 -0.0637028 0.0425372 0.0188129 7.7407e+07 6.06214e+09 1.53804e+11
3 12 0.0547423 0.0573223 0.0970784 6524.4 11323.9 6523.6 0.798109 1.05432e+16 5.83108e+11 1.37976e+13 -0.0673185 0.0422772 0.0187188 8.76924e+07 6.06214e+09 1.53804e+11
3 13 0.0573223 0.0600238 0.101654 6476.86 11130.5 6476.05 0.802223 1.04408e+16 5.77447e+11 1.37612e+13 -0.0703144 0.0420136 0.0186283 9.87775e+07 6.06214e+09 1.53804e+11
3 14 0.0600238 0.0628526 0.106444 6427.82 10933 6427.01 0.806526 1.03355e+16 5.71623e+11 1.37233e+13 -0.0734552 0.0417412 0.0185341 1.10716e+08 6.06214e+09 1.53804e+11
3 15 0.0628526 0.0658148 0.111461 6377.06 10731.7 6376.25 0.811015 1.02268e+16 5.65609e+11 1.36836e+13 -0.0766419 0.0414603 0.018437 1.23566e+08 6.06214e+09 1.53804e+11
3 16 0.0658148 0.0689165 0.116714 6324.79 10526.6 6323.97 0.81571 1.01151e+16 5.59433e+11 1.36422e+13 -0.0799825 0.0411702 0.0183359 1.37386e+08 6.06214e+09 1.53804e+11
3 17 0.0689165 0.0721645 0.122214 6270.8 10318 6269.98 0.820609 1.00001e+16 5.53072e+11 1.3599e+13 -0.0834102 0.0408715 0.0182316 1.5224e+08 6.06214e+09 1.53804e+11
3 18 0.0721645 0.0755655 0.127974 6215.13 10105.9 6214.3 0.825724 9.88182e+15 5.46531e+11 1.35539e+13 -0.0869518 0.0405637 0.0181237 1.68191e+08 6.06214e+09 1.53804e+11
3 19 0.0755655 0.0791268 0.134006 6157.9 9890.4 6157.07 0.831073 9.76064e+15 5.39829e+11 1.35069e+13 -0.0906747 0.0402463 0.0180114 1.85309e+08 6.06214e+09 1.53804e+11
3 20 0.0791268 0.0828559 0.140321 6098.7 9672.12 6097.86 0.836639 9.63566e+15 5.32916e+11 1.34578e+13 -0.0944062 0.0399209 0.0178968 2.03663e+08 6.06214e+09 1.53804e+11
3 21 0.0828559 0.0867608 0.146934 6037.98 9450.83 6037.14 0.842461 9.5079e+15 5.25851e+11 1.34066e+13 -0.0983496 0.0395855 0.0177774 2.23328e+08 6.06214e+09 1.53804e+11
3 22 0.0867608 0.0908497 0.153859 5975.54 9226.93 5974.69 0.848538 9.37697e+15 5.18609e+11 1.33531e+13 -0.102425 0.0392409 0.0176541 2.4438e+08 6.06214e+09 1.53804e+11
3 23 0.0908497 0.0951313 0.16111 5911.15 9000.86 5910.3 0.854863 9.24242e+15 5.11168e+11 1.32974e+13 -0.106535 0.0388879 0.017528 2.66897e+08 6.06214e+09 1.53804e+11
3 24 0.0951313 0.0996147 0.168703 5845.19 8772.55 5844.32 0.861474 9.10509e+15 5.03572e+11 1.32393e+13 -0.110847 0.0385252 0.0173972 2.9096e+08 6.06214e+09 1.53804e+11
3 25 0.0996147 0.104309 0.176654 5777.49 8542.41 5776.62 0.868369 8.96469e+15 4.95808e+11 1.31787e+13 -0.115299 0.0381533 0.0172623 3.16652e+08 6.06214e+09 1.53804e+11
3 26 0.104309 0.109225 0.184979 5707.88 8310.88 5707.01 0.875547 8.8209e+15 4.87855e+11 1.31156e+13 -0.119799 0.0377732 0.0171244 3.4406e+08 6.06214e+09 1.53804e+11
3 27 0.109225 0.114373 0.193697 5636.63 8078.03 5635.74 0.883038 8.67431e+15 4.79747e+11 1.30498e+13 -0.124474 0.0373837 0.016982 3.7327e+08 6.06214e+09 1.53804e+11
3 28 0.114373 0.119763 0.202826 5563.68 7844.21 5562.78 0.89085 8.52487e+15 4.71482e+11 1.29813e+13 -0.129298 0.0369852 0.0168354 4.04371e+08 6.06214e+09 1.53804e+11
3 29 0.119763 0.125407 0.212384 5489 7609.77 5488.1 0.898993 8.37258e+15 4.6306e+11 1.291e+13 -0.13425 0.036578 0.0166848 4.37454e+08 6.06214e+09 1.53804e+11
3 30 0.125407 0.131318 0.222394 5412.52 7375.11 5411.61 0.907469 8.21732e+15 4.54473e+11 1.28357e+13 -0.139282 0.0361627 0.0165308 4.72609e+08 6.06214e+09 1.53804e+11
3 31 0.131318 0.137507 0.232875 5334.37 7140.45 5333.45 0.916303 8.05943e+15 4.4574e+11 1.27583e+13 -0.144451 0.035739 0.0163727 5.0993e+08 6.06214e+09 1.53804e+11
3 32 0.137507 0.143987 0.24385 5254.58 6906.11 5253.65 0.925509 7.89901e+15 4.36868e+11 1.26778e+13 -0.14976 0.0353069 0.0162105 5.49508e+08 6.06214e+09 1.53804e+11
3 33 0.143987 0.150773 0.255342 5173.14 6672.44 5172.2 0.935099 7.73612e+15 4.27859e+11 1.25941e+13 -0.155196 0.0348668 0.0160444 5.91437e+08 6.06214e+09 1.53804e+11
3 34 0.150773 0.157879 0.267376 5090.08 6439.75 5089.14 0.945088 7.57088e+15 4.1872e+11 1.2507e+13 -0.160755 0.0344189 0.0158744 6.35808e+08 6.06214e+09 1.53804e+11
3 35 0.157879 0.165319 0.279977 5005.44 6208.38 5004.48 0.95549 7.4034e+15 4.09457e+11 1.24164e+13 -0.166433 0.0339634 0.0157005 6.82711e+08 6.06214e+09 1.53804e+11
3 36 0.165319 0.17311 0.293172 4919.19 5978.68 4918.23 0.966319 7.23373e+15 4.00073e+11 1.23223e+13 -0.172205 0.0335009 0.0155232 7.32237e+08 6.06214e+09 1.53804e+11
3 37 0.17311 0.181269 0.306989 4831.44 5750.91 4830.46 0.977596 7.0621e+15 3.90581e+11 1.22245e+13 -0.178097 0.0330312 0.015342 7.84472e+08 6.06214e+09 1.53804e+11
3 38 0.181269 0.189812 0.321457 4742.22 5525.37 4741.23 0.98934 6.88866e+15 3.80989e+11 1.21229e+13 -0.184112 0.0325547 0.0151572 8.395e+08 6.06214e+09 1.53804e+11
3 39 0.189812 0.198757 0.336607 4651.56 5302.36 4650.56 1.00157 6.71356e+15 3.71305e+11 1.20175e+13 -0.190243 0.0320716 0.0149686 8.97402e+08 6.06214e+09 1.53804e+11
3 40 0.198757 0.208125 0.35247 4559.52 5082.17 4558.51 1.01431 6.53693e+15 3.61536e+11 1.1908e+13 -0.196485 0.0315822 0.0147765 9.58254e+08 6.06214e+09 1.53804e+11
3 41 0.208125 0.217933 0.369082 4466.15 4865.06 4465.12 1.02757 6.35896e+15 3.51693e+11 1.17945e+13 -0.202832 0.0310867 0.0145809 1.02213e+09 6.06214e+09 1.53804e+11
3 42 0.217933 0.228204 0.386476 4371.48 4651.3 4370.44 1.04138 6.17979e+15 3.41784e+11 1.16768e+13 -0.209279 0.0305856 0.0143818 1.08908e+09 6.06214e+09 1.53804e+11
3 43 0.228204 0.238959 0.40469 4275.58 4441.13 4274.53 1.05578 5.99961e+15 3.31818e+11 1.15548e+13 -0.215821 0.0300789 0.0141795 1.15918e+09 6.06214e+09 1.53804e+11
3 44 0.238959 0.250221 0.423763 4178.51 4234.78 4177.44 1.07077 5.81859e+15 3.21807e+11 1.14284e+13 -0.222454 0.0295671 0.0139738 1.23248e+09 6.06214e+09 1.53804e+11
3 45 0.250221 0.262013 0.443734 4080.33 4032.47 4079.24 1.0864 5.63693e+15 3.1176e+11 1.12975e+13 -0.229174 0.0290503 0.013765 1.309e+09 6.06214e+09 1.53804e+11
3 46 0.262013 0.274362 0.464646 3981.11 3834.41 3980 1.10268 5.45481e+15 3.01688e+11 1.11621e+13 -0.235976 0.0285288 0.013553 1.38879e+09 6.06214e+09 1.53804e+11
3 47 0.274362 0.287292 0.486545 3880.91 3640.79 3879.79 1.11967 5.27244e+15 2.91601e+11 1.1022e+13 -0.242853 0.028003 0.013338 1.47185e+09 6.06214e+09 1.53804e+11
3 48 0.287292 0.300832 0.509475 3779.8 3451.78 3778.66 1.13738 5.08999e+15 2.81511e+11 1.08772e+13 -0.249791 0.0274732 0.0131202 1.5582e+09 6.06214e+09 1.53804e+11
3 49 0.300832 0.315009 0.533486 3677.87 3267.55 3676.71 1.15586 4.90771e+15 2.71429e+11 1.07277e+13 -0.256805 0.0269394 0.0128995 1.64783e+09 6.06214e+09 1.53804e+11
3 50 0.315009 0.329855 0.558628 3575.19 3088.25 3574.02 1.17515 4.72579e+15 2.61368e+11 1.05732e+13 -0.263891 0.0264021 0.0126761 1.74072e+09 6.06214e+09 1.53804e+11
3 51 0.329855 0.345401 0.584955 3471.86 2914.02 3470.66 1.19529 4.54445e+15 2.51339e+11 1.04139e+13 -0.271038 0.0258616 0.0124501 1.83681e+09 6.06214e+09 1.53804e+11
3 52 0.345401 0.361679 0.612523 3367.96 2744.97 3366.74 1.21633 4.36393e+15 2.41355e+11 1.02497e+13 -0.278252 0.0253181 0.0122216 1.93607e+09 6.06214e+09 1.53804e+11
3 53 0.361679 0.378724 0.641391 3263.59 2581.22 3262.35 1.23832 4.18446e+15 2.31429e+11 1.00804e+13 -0.285528 0.0247719 0.0119907 2.03841e+09 6.06214e+09 1.53804e+11
