#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
0 0.0146214 0.0153105 0.891015 5584.81 0 0 5584.81 65859.4 0 361882 5.37857e-05 3.57773 1745.76 1.00892e-07 533.101 0 0 1.01885e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
1 0.0153105 0.0160321 0.933007 5565.61 0 0 5565.61 72206.7 0 757314 6.17524e-05 3.57753 1745.7 1.49437e-08 533.111 0 0 1.0186e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
2 0.0160321 0.0167877 0.976978 5545.65 0 0 5545.65 79165.3 0 1.18934e+06 7.08988e-05 3.57732 1745.63 1.71564e-08 533.122 0 0 1.01833e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
3 0.0167877 0.0175788 1.02302 5524.91 0 0 5524.91 86794.1 0 1.66128e+06 8.13997e-05 3.5771 1745.56 1.96965e-08 533.133 0 0 1.01804e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
4 0.0175788 0.0184073 1.07124 5503.38 0 0 5503.38 95157.6 0 2.17673e+06 9.34555e-05 3.57687 1745.48 2.26127e-08 533.144 0 0 1.01775e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
5 0.0184073 0.0192748 1.12172 5481.01 0 0 5481.01 104327 0 2.73962e+06 0.000107297 3.57663 1745.4 2.59605e-08 533.156 0 0 1.01744e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
6 0.0192748 0.0201832 1.17459 5457.8 0 0 5457.8 114378 0 3.35419e+06 0.000123187 3.57638 1745.32 2.98039e-08 533.169 0 0 1.01712e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
7 0.0201832 0.0211344 1.22994 5433.72 0 0 5433.72 125398 0 4.02509e+06 0.00014143 3.57611 1745.24 3.42161e-08 533.182 0 0 1.01678e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
8 0.0211344 0.0221304 1.28791 5408.73 0 0 5408.73 137478 0 4.75733e+06 0.000162375 3.57583 1745.15 3.92812e-08 533.195 0 0 1.01642e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
9 0.0221304 0.0231734 1.34861 5382.83 0 0 5382.83 150722 0 5.55638e+06 0.000186421 3.57554 1745.05 4.5096e-08 533.21 0 0 1.01605e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
10 0.0231734 0.0242655 1.41216 5355.99 0 0 5355.99 165240 0 6.42814e+06 0.000214026 3.57524 1744.95 5.17713e-08 533.225 0 0 1.01566e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
11 0.0242655 0.0254091 1.47872 5328.18 0 0 5328.18 181155 0 7.37905e+06 0.000245719 3.57492 1744.85 5.94344e-08 533.241 0 0 1.01526e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
12 0.0254091 0.0266066 1.54841 5299.38 0 0 5299.38 198602 0 8.41606e+06 0.000282104 3.57459 1744.74 6.82313e-08 533.257 0 0 1.01483e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
13 0.0266066 0.0278606 1.62138 5269.57 0 0 5269.57 217727 0 9.54673e+06 0.000323875 3.57424 1744.63 7.83299e-08 533.275 0 0 1.01438e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
14 0.0278606 0.0291736 1.69779 5238.73 0 0 5238.73 238692 0 1.07792e+07 0.00037183 3.57388 1744.51 8.99225e-08 533.293 0 0 1.01392e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
15 0.0291736 0.0305485 1.77781 5206.84 0 0 5206.84 261674 0 1.21224e+07 0.000426884 3.5735 1744.39 1.0323e-07 533.312 0 0 1.01343e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
16 0.0305485 0.0319882 1.86159 5173.87 0 0 5173.87 286867 0 1.35858e+07 0.000490087 3.5731 1744.26 1.18506e-07 533.332 0 0 1.01292e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
17 0.0319882 0.0334958 1.94933 5139.8 0 0 5139.8 314482 0 1.51799e+07 0.000562646 3.57268 1744.12 1.36042e-07 533.352 0 0 1.01238e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
18 0.0334958 0.0350744 2.0412 5104.63 0 0 5104.63 344752 0 1.69158e+07 0.000645944 3.57224 1743.98 1.56172e-07 533.374 0 0 1.01182e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
19 0.0350744 0.0367274 2.1374 5068.33 0 0 5068.33 377932 0 1.88056e+07 0.000741571 3.57178 1743.83 1.79279e-07 533.397 0 0 1.01124e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
20 0.0367274 0.0384583 2.23813 5030.88 0 0 5030.88 414302 0 2.08625e+07 0.00085135 3.5713 1743.67 2.05803e-07 533.421 0 0 1.01063e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
21 0.0384583 0.0402708 2.34361 4992.26 0 0 4992.26 454167 0 2.31005e+07 0.000977376 3.5708 1743.51 2.36249e-07 533.446 0 0 1.00998e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
22 0.0402708 0.0421687 2.45406 4952.47 0 0 4952.47 497862 0 2.55348e+07 0.00112205 3.57028 1743.34 2.71197e-07 533.472 0 0 1.00931e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
23 0.0421687 0.044156 2.56971 4911.5 0 0 4911.5 545754 0 2.81819e+07 0.00128814 3.56973 1743.16 3.11311e-07 533.499 0 0 1.00861e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
24 0.044156 0.046237 2.69082 4869.32 0 0 4869.32 598247 0 3.10595e+07 0.0014788 3.56915 1742.97 3.57356e-07 533.528 0 0 1.00788e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
25 0.046237 0.0484161 2.81764 4825.93 0 0 4825.93 655780 0 3.41866e+07 0.00169767 3.56855 1742.77 4.10208e-07 533.558 0 0 1.00711e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
26 0.0484161 0.0506979 2.95043 4781.33 0 0 4781.33 718836 0 3.75837e+07 0.00194892 3.56792 1742.57 4.7087e-07 533.59 0 0 1.0063e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
27 0.0506979 0.0530872 3.08948 4735.5 0 0 4735.5 787945 0 4.12728e+07 0.00223734 3.56726 1742.35 5.40498e-07 533.623 0 0 1.00546e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
28 0.0530872 0.0555891 3.23508 4688.44 0 0 4688.44 863686 0 4.52777e+07 0.00256843 3.56656 1742.13 6.20414e-07 533.657 0 0 1.00458e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
29 0.0555891 0.058209 3.38754 4640.15 0 0 4640.15 946693 0 4.96237e+07 0.00294849 3.56584 1741.89 7.12138e-07 533.693 0 0 1.00366e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
30 0.058209 0.0609523 3.54719 4590.63 0 0 4590.63 1.03766e+06 0 5.43381e+07 0.00338477 3.56508 1741.65 8.17413e-07 533.731 0 0 1.00269e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
31 0.0609523 0.0638249 3.71437 4539.88 0 0 4539.88 1.13735e+06 0 5.94503e+07 0.00388557 3.56429 1741.39 9.38237e-07 533.77 0 0 1.00169e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
32 0.0638249 0.0668329 3.88942 4487.9 0 0 4487.9 1.2466e+06 0 6.49915e+07 0.00446044 3.56346 1741.12 1.07691e-06 533.812 0 0 1.00063e+07 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
33 0.0668329 0.0699826 4.07272 4434.7 0 0 4434.7 1.36631e+06 0 7.09952e+07 0.00512031 3.56259 1740.83 1.23605e-06 533.855 0 0 9.99527e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
34 0.0699826 0.0732808 4.26466 4380.3 0 0 4380.3 1.49749e+06 0 7.74975e+07 0.00587775 3.56168 1740.54 1.41869e-06 533.901 0 0 9.98373e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
35 0.0732808 0.0767344 4.46565 4324.69 0 0 4324.69 1.64124e+06 0 8.45365e+07 0.00674718 3.56073 1740.23 1.6283e-06 533.948 0 0 9.97166e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
36 0.0767344 0.0803508 4.67611 4267.89 0 0 4267.89 1.79874e+06 0 9.21533e+07 0.00774514 3.55973 1739.9 1.86884e-06 533.998 0 0 9.95903e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
37 0.0803508 0.0841376 4.89649 4209.92 0 0 4209.92 1.97132e+06 0 1.00392e+08 0.00889061 3.55869 1739.56 2.14488e-06 534.05 0 0 9.94583e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
38 0.0841376 0.0881029 5.12725 4150.8 0 0 4150.8 2.16041e+06 0 1.09298e+08 0.0102054 3.5576 1739.21 2.46164e-06 534.105 0 0 9.93203e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
39 0.0881029 0.092255 5.36889 4090.54 0 0 4090.54 2.36758e+06 0 1.18921e+08 0.0117145 3.55646 1738.84 2.82514e-06 534.162 0 0 9.91759e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
40 0.092255 0.0966029 5.62192 4029.18 0 0 4029.18 2.59454e+06 0 1.29315e+08 0.0134465 3.55527 1738.45 3.24224e-06 534.222 0 0 9.9025e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
41 0.0966029 0.101156 5.88688 3966.73 0 0 3966.73 2.84319e+06 0 1.40535e+08 0.0154345 3.55402 1738.04 3.72084e-06 534.284 0 0 9.88672e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
42 0.101156 0.105923 6.16432 3903.22 0 0 3903.22 3.11559e+06 0 1.52641e+08 0.0177162 3.55271 1737.61 4.27e-06 534.35 0 0 9.87022e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
43 0.105923 0.110915 6.45483 3838.69 0 0 3838.69 3.41399e+06 0 1.65695e+08 0.0203349 3.55134 1737.17 4.9001e-06 534.418 0 0 9.85298e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
44 0.110915 0.116142 6.75904 3773.16 0 0 3773.16 3.74085e+06 0 1.79764e+08 0.0233404 3.54991 1736.7 5.62305e-06 534.49 0 0 9.83495e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
45 0.116142 0.121616 7.07758 3706.68 0 0 3706.68 4.09888e+06 0 1.94918e+08 0.0267896 3.54841 1736.21 6.45249e-06 534.565 0 0 9.81611e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
46 0.121616 0.127347 7.41114 3639.29 0 0 3639.29 4.49103e+06 0 2.11233e+08 0.0307482 3.54685 1735.7 7.40409e-06 534.644 0 0 9.79642e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
47 0.127347 0.133349 7.76041 3571.02 0 0 3571.02 4.92053e+06 0 2.28786e+08 0.0352911 3.54521 1735.17 8.49579e-06 534.726 0 0 9.77585e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
48 0.133349 0.139634 8.12615 3501.92 0 0 3501.92 5.39091e+06 0 2.4766e+08 0.0405046 3.54349 1734.61 9.74819e-06 534.813 0 0 9.75435e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
