# log $M_{PR}$, $\gamma_{PR}$, $\mu_{\lambda}$, $\tau_{RI}$
11.6683,-1.33,0.3875,21.7592
10.5117,0.563333,0.274167,25.2392
10.8817,1.21,0.529167,6.48583
10.625,1.34333,0.424167,25.5775
11.3517,-1.35,0.744167,10.8842
10.415,1.29667,0.294167,16.4425
10.455,-1.36333,0.099167,13.8325
10.755,1.03,0.729167,9.4825
11.3317,-0.036667,0.889167,24.7558
10.335,-0.296667,0.420833,5.37417
11.3217,-1.03667,0.279167,21.8558
10.915,0.45,0.2325,5.22917
10.4517,-0.383333,0.234167,23.3058
10.3583,-1.41667,0.1975,26.2542
11.2917,1.07667,0.495833,7.0175
11.6317,0.55,0.789167,17.7958
10.425,0.623333,0.1375,8.3225
10.935,-0.863333,0.240833,20.5508
10.6317,0.823333,0.160833,12.6242
11.6217,1.37667,0.375833,14.8958
11.1117,0.616667,0.254167,25.9158
10.5817,1.76333,0.125833,11.2225
10.4183,-0.35,0.659167,13.5425
11.5417,-1.30333,0.605833,5.1325
10.245,1.52333,0.8725,18.2792
11.0083,-0.956667,0.844167,16.2975
10.535,-1.17,0.3575,23.8858
11.4583,-0.45,0.3925,11.5608
11.0417,0.503333,0.764167,22.8708
11.6883,0.59,0.674167,26.0125
10.4783,1.14333,0.550833,21.0342
10.6283,-0.83,0.479167,9.38583
10.1683,0.103333,0.5775,11.8508
11.2817,-0.636667,0.400833,18.1342
11.7083,-0.063333,0.134167,6.4375
10.7517,-1.11,0.594167,25.6742
11.695,-0.156667,0.429167,15.4758
10.9817,-0.11,0.305833,4.64917
11.365,-1.24333,0.284167,3.6825
10.6683,0.323333,0.854167,16.5392
11.1317,-1.11667,0.2775,8.08083
11.6517,0.423333,0.380833,20.1158
11.345,-0.87,0.170833,9.96583
10.8783,-1.65,0.5275,15.6692
11.765,-0.483333,0.7325,9.53083
11.575,-0.523333,0.7625,26.6408
11.2683,-0.223333,0.410833,23.2092
10.825,-1.28333,0.2225,10.0142
11.5817,1.21667,0.6175,26.5442
11.5483,1.79,0.310833,18.0375
11.515,1.53,0.5225,22.4842
11.225,-0.776667,0.9275,5.80917
10.8317,0.923333,0.520833,11.7542
10.5617,-0.363333,0.1325,8.12917
10.885,1.57667,0.859167,5.08417
10.1917,-0.463333,0.280833,25.7708
10.655,0.21,0.285833,12.2375
