#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 0 0.0315009 0.0329855 0.0313911 487.957 376.969 479.404 8.5534 3.27666e+14 2.24527e+13 2.39647e+13 0.0925441 0.00238219 0.00109431 113379 6.87816e+08 1.53804e+11
3 1 0.0329855 0.0345401 0.0328705 487.385 375.885 478.831 8.55392 3.27146e+14 2.24171e+13 2.39283e+13 0.0835903 0.002382 0.00109544 237338 6.87816e+08 1.53804e+11
3 2 0.0345401 0.0361679 0.0344196 486.786 374.732 478.231 8.55447 3.26603e+14 2.23798e+13 2.38903e+13 0.0793422 0.00238179 0.00109668 372841 6.87816e+08 1.53804e+11
3 3 0.0361679 0.0378724 0.0360418 486.159 373.496 477.604 8.55504 3.26034e+14 2.23409e+13 2.38506e+13 0.0805003 0.00238158 0.00109804 520926 6.87816e+08 1.53804e+11
3 4 0.0378724 0.0396573 0.0377404 485.504 372.246 476.949 8.55565 3.25441e+14 2.23002e+13 2.3809e+13 0.0844644 0.00238136 0.00109945 682755 6.87816e+08 1.53804e+11
3 5 0.0396573 0.0415263 0.039519 484.82 370.974 476.263 8.55628 3.2482e+14 2.22577e+13 2.37656e+13 0.0811043 0.00238112 0.00110091 859590 6.87816e+08 1.53804e+11
3 6 0.0415263 0.0434834 0.0413815 484.103 369.602 475.546 8.55694 3.24171e+14 2.22132e+13 2.37202e+13 0.0699924 0.00238088 0.00110245 1.05277e+06 6.87816e+08 1.53804e+11
3 7 0.0434834 0.0455327 0.0433317 483.354 368.263 474.797 8.55764 3.23493e+14 2.21668e+13 2.36728e+13 0.071339 0.00238062 0.00110416 1.26382e+06 6.87816e+08 1.53804e+11
3 8 0.0455327 0.0476786 0.0453739 482.572 366.785 474.013 8.55837 3.22785e+14 2.21182e+13 2.36232e+13 0.0759345 0.00238035 0.00110596 1.4943e+06 6.87816e+08 1.53804e+11
3 9 0.0476786 0.0499256 0.0475123 481.753 365.263 473.194 8.55913 3.22045e+14 2.20675e+13 2.35714e+13 0.070173 0.00238006 0.00110783 1.74597e+06 6.87816e+08 1.53804e+11
