#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
0 0.0315009 0.0329855 0.0211883 750.412 6731.45 745.78 4.63127 507865 2.02458e+06 27985.9 1.89617 12613 1.86298e+06 1.04469 1.81505 6.1382e+14 7.51486e+15 6.57362e+14 0.741202 0 0 2605.17 14774.3 8.66186 49.1227 0.0115428 0.00729749 2.7425e+10 9.98021e+11
1 0.0329855 0.0345401 0.0221868 749.746 6739.05 745.115 4.63131 556819 4.24699e+06 58712.9 2.17703 12612.4 1.86292e+06 0.154745 1.815 6.13067e+14 7.50564e+15 6.56572e+14 0.784073 0 0 2853.95 16165 8.65408 49.0174 0.0115427 0.00727363 2.7425e+10 9.98021e+11
2 0.0345401 0.0361679 0.0232325 749.051 6720.72 744.419 4.63134 610490 6.67718e+06 92451.6 2.49949 12611.8 1.86286e+06 0.177668 1.81494 6.12278e+14 7.49599e+15 6.55746e+14 0.775613 0 0 3126.35 17685 8.64593 48.908 0.0115425 0.0072772 2.7425e+10 9.98021e+11
3 0.0361679 0.0378724 0.0243274 748.322 6701.48 743.691 4.63139 669331 9.33421e+06 129499 2.8697 12611.1 1.8628e+06 0.203986 1.81488 6.11454e+14 7.4859e+15 6.54882e+14 0.767915 0 0 3424.6 19345.8 8.63742 48.7934 0.0115424 0.00728099 2.7425e+10 9.98021e+11
4 0.0378724 0.0396573 0.0254739 747.561 6681.48 742.929 4.63143 733841 1.22389e+07 170183 3.29473 12610.5 1.86273e+06 0.234201 1.81483 6.10592e+14 7.47534e+15 6.53978e+14 0.76099 0 0 3751.12 21160.3 8.62851 48.674 0.0115422 0.00728491 2.7425e+10 9.98021e+11
5 0.0396573 0.0415263 0.0266745 746.764 6660.65 742.133 4.63147 804565 1.54139e+07 214862 3.78271 12609.7 1.86266e+06 0.268893 1.81477 6.09691e+14 7.46431e+15 6.53033e+14 0.752931 0 0 4108.58 23142.5 8.61919 48.5494 0.011542 0.00728899 2.7425e+10 9.98021e+11
6 0.0415263 0.0434834 0.0279316 745.931 6638.91 741.299 4.63152 882102 1.88838e+07 263933 4.34295 12609 1.86258e+06 0.308723 1.8147 6.08749e+14 7.45278e+15 6.52045e+14 0.743004 0 0 4499.88 25307.2 8.60944 48.4193 0.0115419 0.00729326 2.7425e+10 9.98021e+11
7 0.0434834 0.0455327 0.029248 745.059 6616.24 740.427 4.63157 967106 2.26755e+07 317831 4.98615 12608.2 1.86251e+06 0.354452 1.81464 6.07764e+14 7.44072e+15 6.51013e+14 0.735086 0 0 4928.17 27671 8.59924 48.2835 0.0115417 0.00729773 2.7425e+10 9.98021e+11
8 0.0455327 0.0476786 0.0306264 744.147 6592.6 739.516 4.63162 1.0603e+06 2.68182e+07 377034 5.7246 12607.4 1.86242e+06 0.406955 1.81456 6.06734e+14 7.42811e+15 6.49933e+14 0.726162 0 0 5396.93 30251.5 8.58858 48.1417 0.0115415 0.00730239 2.7425e+10 9.98021e+11
9 0.0476786 0.0499256 0.0320698 743.194 6567.96 738.562 4.63167 1.16246e+06 3.13436e+07 442069 6.57239 12606.5 1.86234e+06 0.467235 1.81449 6.05658e+14 7.41493e+15 6.48804e+14 0.71454 0 0 5909.94 33068.2 8.57743 47.9938 0.0115413 0.00730725 2.7425e+10 9.98021e+11
10 0.0499256 0.0522785 0.0335812 742.197 6542.3 737.565 4.63173 1.27446e+06 3.62862e+07 513518 7.54572 12605.6 1.86225e+06 0.536442 1.81441 6.04532e+14 7.40116e+15 6.47624e+14 0.705464 0 0 6471.3 36142 8.56576 47.8394 0.0115411 0.00731233 2.7425e+10 9.98021e+11
11 0.0522785 0.0547423 0.0351638 741.154 6515.57 736.522 4.63179 1.39725e+06 4.16836e+07 592017 8.66316 12604.7 1.86216e+06 0.615899 1.81433 6.03357e+14 7.38676e+15 6.46391e+14 0.693667 0 0 7085.54 39495.5 8.55357 47.6785 0.0115409 0.00731762 2.7425e+10 9.98021e+11
12 0.0547423 0.0573223 0.036821 740.064 6487.75 735.432 4.63185 1.53185e+06 4.75763e+07 678270 9.94605 12603.7 1.86206e+06 0.707126 1.81424 6.02128e+14 7.37171e+15 6.45102e+14 0.683055 0 0 7757.56 43153.6 8.54082 47.5107 0.0115407 0.00732314 2.7425e+10 9.98021e+11
13 0.0573223 0.0600238 0.0385563 738.924 6458.89 734.292 4.63191 1.67941e+06 5.40089e+07 773051 11.4189 12602.6 1.86196e+06 0.81186 1.81415 6.00844e+14 7.35599e+15 6.43755e+14 0.67244 0 0 8492.72 47143.2 8.52749 47.3362 0.0115404 0.00732884 2.7425e+10 9.98021e+11
14 0.0600238 0.0628526 0.0403734 737.732 6428.7 733.1 4.63198 1.84118e+06 6.10291e+07 877211 13.1098 12601.5 1.86185e+06 0.932111 1.81405 5.99502e+14 7.33957e+15 6.42348e+14 0.658535 0 0 9296.86 51492.1 8.51355 47.1536 0.0115402 0.00733486 2.7425e+10 9.98021e+11
15 0.0628526 0.0658148 0.0422762 736.486 6397.3 731.854 4.63205 2.01851e+06 6.8689e+07 991688 15.051 12600.4 1.86174e+06 1.07017 1.81396 5.981e+14 7.32241e+15 6.40878e+14 0.647267 0 0 10176.4 56232.2 8.49898 46.9634 0.0115399 0.00734113 2.7425e+10 9.98021e+11
16 0.0658148 0.0689165 0.0442686 735.183 6364.74 730.551 4.63212 2.21291e+06 7.70451e+07 1.11752e+06 17.2797 12599.2 1.86162e+06 1.22867 1.81386 5.96636e+14 7.30448e+15 6.39342e+14 0.632236 0 0 11138.2 61397.7 8.48374 46.7656 0.0115396 0.00734761 2.7425e+10 9.98021e+11
17 0.0689165 0.0721645 0.0463549 733.822 6330.93 729.19 4.6322 2.42601e+06 8.61588e+07 1.25584e+06 19.8382 12598 1.8615e+06 1.41064 1.81375 5.95107e+14 7.28576e+15 6.37737e+14 0.620019 0 0 12189.8 67025 8.46782 46.5598 0.0115393 0.00735434 2.7425e+10 9.98021e+11
18 0.0721645 0.0755655 0.0485395 732.399 6295.61 727.767 4.63227 2.65961e+06 9.6096e+07 1.4079e+06 22.7755 12596.7 1.86137e+06 1.61957 1.81364 5.9351e+14 7.26621e+15 6.36062e+14 0.604766 0 0 13339.6 73151.9 8.45119 46.3447 0.011539 0.00736143 2.7425e+10 9.98021e+11
