#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 0 0.0315009 0.0329855 0.713562 1098.68 269.484 1091.33 7.35652 1.00745e+15 1.34494e+16 4.59883e+13 -0.638357 0.00286419 0.000984724 81051 1.50017e+06 1.53804e+11
3 1 0.0329855 0.0345401 0.747192 1126.01 265.653 1118.65 7.36642 1.04381e+15 1.39349e+16 4.56596e+13 -0.622224 0.00285976 0.00096696 168658 1.50017e+06 1.53804e+11
3 2 0.0345401 0.0361679 0.782406 1178.51 261.022 1171.1 7.40335 1.11422e+15 1.48749e+16 4.5318e+13 -0.653179 0.00284301 0.000937366 263043 1.50017e+06 1.53804e+11
3 3 0.0361679 0.0378724 0.819279 1225.4 255.899 1217.93 7.46171 1.1782e+15 1.57289e+16 4.4963e+13 -0.658882 0.00281667 0.000912405 364503 1.50017e+06 1.53804e+11
3 4 0.0378724 0.0396573 0.857891 1294.45 249.527 1286.88 7.57157 1.27391e+15 1.70067e+16 4.45943e+13 -0.63813 0.00276817 0.000879708 472982 1.50017e+06 1.53804e+11
3 5 0.0396573 0.0415263 0.898322 1382.11 242.216 1374.37 7.74475 1.39815e+15 1.86653e+16 4.42114e+13 -0.6365 0.00269466 0.000840701 588441 1.50017e+06 1.53804e+11
3 6 0.0415263 0.0434834 0.940659 1489.17 233.501 1481.18 7.99582 1.5539e+15 2.07447e+16 4.3814e+13 -0.679911 0.00259419 0.000797208 710485 1.50017e+06 1.53804e+11
3 7 0.0434834 0.0455327 0.98499 1618.95 222.651 1610.6 8.34634 1.74844e+15 2.33418e+16 4.34017e+13 -0.665188 0.00246495 0.000750675 838084 1.50017e+06 1.53804e+11
3 8 0.0455327 0.0476786 1.03141 1779.13 209.96 1770.29 8.83626 1.99679e+15 2.66572e+16 4.29741e+13 -0.668784 0.00230311 0.000697154 970020 1.50017e+06 1.53804e+11
3 9 0.0476786 0.0499256 1.08002 1978.37 194.45 1968.85 9.52679 2.31773e+15 3.09417e+16 4.25309e+13 -0.75821 0.00210594 0.000636989 1.104e+06 1.50017e+06 1.53804e+11
3 10 0.0499256 0.0522785 1.13092 2237.41 173.634 2226.85 10.5588 2.75361e+15 3.67608e+16 4.20717e+13 -0.78858 0.00186379 0.000570749 1.23518e+06 1.50017e+06 1.53804e+11
3 11 0.0522785 0.0547423 1.18422 2577.92 147.201 2565.74 12.1879 3.35629e+15 4.48066e+16 4.15962e+13 -0.955605 0.0015724 0.000492825 1.35711e+06 1.50017e+06 1.53804e+11
3 12 0.0547423 0.0573223 1.24003 3041.1 108.457 3026.01 15.0889 4.22515e+15 5.64059e+16 4.1104e+13 -1.30354 0.00122211 0.000414197 1.45562e+06 1.50017e+06 1.53804e+11
3 13 0.0573223 0.0600238 1.29847 3819.48 44.4509 3796.11 23.3724 5.79233e+15 7.73278e+16 4.05949e+13 -3.29508 0.000731919 0.000355918 1.49989e+06 1.50017e+06 1.53804e+11
3 14 0.0600238 0.0628526 1.35967 4670.25 0.257522 4617.41 52.8391 7.40125e+15 9.88069e+16 4.00685e+13 -434.549 0.00028564 0.0052561 1.50017e+06 1.50017e+06 1.53804e+11
3 15 0.0628526 0.0658148 1.42374 5268.9 0 555.357 4713.55 3.30933e+13 4.41797e+14 3.95246e+13 -inf 1.56305e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 16 0.0658148 0.0689165 1.49084 5167.29 0 0 5167.29 0 0 3.8963e+13 nan 6.96285e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 17 0.0689165 0.0721645 1.5611 5060.73 0 0 5060.73 0 0 3.83835e+13 nan 7.00167e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 18 0.0721645 0.0755655 1.63468 4951.64 0 0 4951.64 0 0 3.7786e+13 nan 7.04236e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 19 0.0755655 0.0791268 1.71172 4840.08 0 0 4840.08 0 0 3.71702e+13 nan 7.08502e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 20 0.0791268 0.0828559 1.79239 4726.1 0 0 4726.1 0 0 3.65361e+13 nan 7.12973e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 21 0.0828559 0.0867608 1.87686 4609.78 0 0 4609.78 0 0 3.58838e+13 nan 7.17661e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 22 0.0867608 0.0908497 1.96531 4491.23 0 0 4491.23 0 0 3.52132e+13 nan 7.22575e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 23 0.0908497 0.0951313 2.05794 4370.53 0 0 4370.53 0 0 3.45244e+13 nan 7.27727e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 24 0.0951313 0.0996147 2.15492 4247.81 0 0 4247.81 0 0 3.38176e+13 nan 7.33127e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 25 0.0996147 0.104309 2.25648 4123.2 0 0 4123.2 0 0 3.3093e+13 nan 7.38789e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 26 0.104309 0.109225 2.36283 3996.85 0 0 3996.85 0 0 3.23509e+13 nan 7.44725e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 27 0.109225 0.114373 2.47418 3868.92 0 0 3868.92 0 0 3.15917e+13 nan 7.50948e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 28 0.114373 0.119763 2.59079 3739.59 0 0 3739.59 0 0 3.08157e+13 nan 7.57472e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 29 0.119763 0.125407 2.71289 3609.04 0 0 3609.04 0 0 3.00236e+13 nan 7.64312e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 30 0.125407 0.131318 2.84074 3477.48 0 0 3477.48 0 0 2.9216e+13 nan 7.71483e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 31 0.131318 0.137507 2.97462 3345.12 0 0 3345.12 0 0 2.83936e+13 nan 7.79e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 32 0.137507 0.143987 3.11481 3212.21 0 0 3212.21 0 0 2.75572e+13 nan 7.86882e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 33 0.143987 0.150773 3.26161 3078.99 0 0 3078.99 0 0 2.67078e+13 nan 7.95144e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 34 0.150773 0.157879 3.41532 2945.71 0 0 2945.71 0 0 2.58464e+13 nan 8.03805e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 35 0.157879 0.165319 3.57628 2812.65 0 0 2812.65 0 0 2.49742e+13 nan 8.12885e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 36 0.165319 0.17311 3.74483 2680.08 0 0 2680.08 0 0 2.40924e+13 nan 8.22402e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
3 37 0.17311 0.181269 3.92132 2548.29 0 0 2548.29 0 0 2.32025e+13 nan 8.32378e-07 0 1.50017e+06 1.50017e+06 1.53804e+11
